web-scraper-order,web-scraper-start-url,matches,matches-href,summary_home,summary_away,gotosummary,gotosummary-href,matchsummary,teamstatistics,home_data_summary,away_data_summary
"1520633543-1657","https://www.whoscored.com/Teams/32/Fixtures/England-Manchester-United","2 : 1","https://www.whoscored.com/Matches/1246859/Live/England-League-Cup-2017-2018-Bristol-City-Manchester-United","0Formation Set  4411  4411 46Jamie Paterson recieves a yellow card 50GOAL! Joe Bryan scores , Assisted by Marlon Pack (High to the right, 18-yard box, Left footed, Open play) 50Marlon Pack assists a goal (Through Ball, Key pass, Open play) 68Matty Taylor is substituted on 68Formation Change  442  442 68Hördur Bjorgvin Magnusson is substituted off 73Joe Bryan tackles and wins possession (Last line) 73Niclas Eliasson is substituted on 73Josh Brownhill is substituted off 88Matty Taylor recieves a yellow card 92Matty Taylor assists a goal (Off the ground, Through Ball, Key pass, Open play) 92GOAL! Korey Smith scores , Assisted by Matty Taylor (Low to the centre, 18-yard box, Big Chance, Left footed, Open play)","0Formation Set  433  433 20Marcus Rashford hits the woodwork (To the right, Out of box, Right footed, Open play) 40Daley Blind tackles and wins possession (Last line) 57GOAL! Zlatan Ibrahimovic scores  (Low to the right, Out of box, Right footed, Free kick) 60Romelu Lukaku is substituted on 60Formation Change  4231  4231 60Daley Blind is substituted off 68Henrikh Mkhitaryan is substituted on 68Zlatan Ibrahimovic is substituted off 68Formation Change  4231  4231 73Marcus Rashford recieves a yellow card 88Paul Pogba recieves a yellow card 93Matteo Darmian is substituted off 93Chris Smalling is substituted on","Player Statistics","https://www.whoscored.com/Matches/1246859/LiveStatistics/England-League-Cup-2017-2018-Bristol-City-Manchester-United","Bristol City2 : 1Manchester UnitedElapsed:FTHalf time:0 : 0Full time:2 : 1Kick off:20:00Date:Wed, 20-Dec-17","11Shots196Shots on target576%Pass Success %81%44%Aerial Duel Success56%8Dribbles won1318Tackles20Possession45%55%","R		Player  Shots ShotsOT KeyPasses PA% AerialsWon TouchesRating Key Events 1 	Luke Steele  33,  GK     0	0	0	52.2	0	30	7.14  2 	Bailey Wright  25,  DR     0	0	1	87.1	3	50	6.93  3 	Aden Flint  28,  DC     2	1	1	66.7	10	46	8.06  4 	Nathan Baker  26,  DC     0	0	0	73.1	3	38	6.60  5 	Hördur Bjorgvin Magnusson (68′) 25,  DL     2	1	2	71.4	1	51	6.74  6 	Josh Brownhill (73′) 22,  MR     1	1	3	72.1	0	55	6.56  7 	Korey Smith  27,  MC     1	1	0	83	0	58	7.27   8 	Marlon Pack  26,  MC     0	0	2	78	1	77	7.42   9 	Joe Bryan  24,  ML     3	2	0	81.6	0	68	8.88    10 	Jamie Paterson  26,  AMC     1	0	0	79	0	62	6.54   11 	Bobby Reid  25,  FW     1	0	0	82.6	1	36	6.69  12 	Niclas Eliasson (73′) 22,  Sub     0	0	0	100	0	10	6.00  13 	Matty Taylor (68′) 27,  Sub     0	0	1	84.6	1	14	6.83    14 	Paul Garita  22,  Sub     0	0	0	0	0	0	-  15 	Lloyd Kelly  19,  Sub     0	0	0	0	0	0	-  16 	Zak Vyner  20,  Sub     0	0	0	0	0	0	-  17 	Frank Fielding  29,  Sub     0	0	0	0	0	0	-  18 	Connor Lemonheigh-Evans  21,  Sub     0	0	0	0	0	0	-",""
"1520634016-1996","https://www.whoscored.com/Teams/32/Fixtures/England-Manchester-United","4 : 0","https://www.whoscored.com/Matches/1190198/Live/England-Premier-League-2017-2018-Manchester-United-Everton","0Formation Set  4231  4231 3Nemanja Matic assists a goal (Long Ball, Off the ground, Key pass, Open play) 3GOAL! Antonio Valencia scores , Assisted by Nemanja Matic (High to the left, Out of box, Right footed, Open play) 60Jesse Lingard is substituted on 60Marcus Rashford is substituted off 63Juan Mata hits the woodwork (To the left, Out of box, Left footed, Free kick) 76Juan Mata is substituted off 76Ander Herrera is substituted on 76Formation Change  4231  4231 81Eric Bailly recieves a yellow card 82Romelu Lukaku assists a goal (Key pass, Open play) 82GOAL! Henrikh Mkhitaryan scores , Assisted by Romelu Lukaku (Low to the right, 18-yard box, Big Chance, Right footed, Open play) 87Henrikh Mkhitaryan is substituted off 87Anthony Martial is substituted on 88Jesse Lingard assists a goal (Headed, Key pass, Set piece) 88GOAL! Romelu Lukaku scores , Assisted by Jesse Lingard (Low to the right, 6-yard box, Big Chance, Right footed, Set piece) 91GOAL! Anthony Martial scores  (Low to the left, 18-yard box, Big Chance, Penalty, Right footed)","0Formation Set  3421  3421 62Ashley Williams recieves a yellow card 65Sandro Ramírez is substituted on 65Tom Davies is substituted off 75Idrissa Gueye is substituted off 75Dominic Calvert-Lewin is substituted on 75Formation Change  3421  3421 81Wayne Rooney is substituted off 81Kevin Mirallas is substituted on 81Formation Change  3421  3421 82Ashley Williams commits an error (Leading to goal)","Player Statistics","https://www.whoscored.com/Matches/1190198/LiveStatistics/England-Premier-League-2017-2018-Manchester-United-Everton","Manchester United4 : 0EvertonElapsed:FTHalf time:1 : 0Full time:4 : 0Kick off:16:00Date:Sun, 17-Sep-17","16Shots77Shots on target385%Pass Success %80%64%Aerial Duel Success36%9Dribbles won414Tackles22Possession49%51%","R		Player  KeyPasses Passes PA% Crosses AccCrosses LB AccLB ThB AccThBRating Key Events 1 	David de Gea  27,  GK     0	17	70.6	0	0	12	7	0	0	7.50  2 	Antonio Valencia  32,  DR     0	34	76.5	5	0	4	1	0	0	7.78   3 	Phil Jones  26,  DC     0	49	87.8	1	0	4	0	0	0	7.34  4 	Eric Bailly  23,  DC     0	30	96.7	0	0	4	3	0	0	6.99   5 	Ashley Young  32,  DL     1	59	79.7	3	1	12	4	0	0	7.86  6 	Marouane Fellaini  30,  DMC     0	51	80.4	2	0	0	0	0	0	8.09  7 	Nemanja Matic  29,  DMC     1	83	90.4	2	0	13	9	0	0	7.95   8 	Juan Mata (76′) 29,  AMR     3	42	81	2	1	3	2	0	0	7.01   9 	Henrikh Mkhitaryan (87′) 29,  AMC     2	54	87	11	1	3	1	0	0	7.92   10 	Marcus Rashford (60′) 20,  AML     1	16	87.5	1	0	0	0	1	1	6.46  11 	Romelu Lukaku  24,  FW     1	16	68.8	1	1	0	0	0	0	8.32    12 	Anthony Martial (87′) 22,  Sub     0	1	100	0	0	0	0	0	0	7.07   13 	Ander Herrera (76′) 28,  Sub     0	15	93.3	0	0	0	0	0	0	6.41  14 	Jesse Lingard (60′) 25,  Sub     1	9	100	0	0	0	0	0	0	7.24   15 	Sergio Romero  31,  Sub     0	0	0	0	0	0	0	0	0	-  16 	Matteo Darmian  28,  Sub     0	0	0	0	0	0	0	0	0	-  17 	Chris Smalling  28,  Sub     0	0	0	0	0	0	0	0	0	-  18 	Michael Carrick  36,  Sub     0	0	0	0	0	0	0	0	0	-",""
"1520633295-1477","https://www.whoscored.com/Teams/32/Fixtures/England-Manchester-United","1 : 0","https://www.whoscored.com/Matches/1190395/Live/England-Premier-League-2017-2018-Newcastle-United-Manchester-United","0Formation Set  4411  4411 56DeAndre Yedlin tackles but does not win possession (Last line) 56Florian Lejeune blocks a shot (Last line) 64GOAL! Matt Ritchie scores , Assisted by Dwight Gayle (Low to the right, 18-yard box, Big Chance, Left footed, Set piece) 64Dwight Gayle assists a goal (Lay-off, Key pass, Set piece) 79Dwight Gayle is substituted off 79Joselu is substituted on 83Christian Atsu is substituted on 83Kenedy is substituted off 93Ayoze Pérez is substituted off 93Isaac Hayden is substituted on 93Formation Change  451  451 93Jamaal Lascelles tackles but does not win possession (Last line)","0Formation Set  4231  4231 63Chris Smalling recieves a yellow card 65Paul Pogba is substituted off 65Michael Carrick is substituted on 65Jesse Lingard is substituted off 65Juan Mata is substituted on 65Formation Change  4231  4231 76Nemanja Matic is substituted off 76Scott McTominay is substituted on 87Antonio Valencia recieves a yellow card","Player Statistics","https://www.whoscored.com/Matches/1190395/LiveStatistics/England-Premier-League-2017-2018-Newcastle-United-Manchester-United","Newcastle United1 : 0Manchester UnitedElapsed:FTHalf time:0 : 0Full time:1 : 0Kick off:14:15Date:Sun, 11-Feb-18","10Shots133Shots on target469%Pass Success %80%56%Aerial Duel Success44%9Dribbles won1820Tackles12Possession36%64%","",""
"1520633723-1794","https://www.whoscored.com/Teams/32/Fixtures/England-Manchester-United","1 : 0","https://www.whoscored.com/Matches/1238299/Live/Europe-UEFA-Champions-League-2017-2018-FC-Basel-1893-Manchester-United","0Formation Set  343  343 11Manuel Akanji blocks a shot (Last line) 66Michael Lang hits the woodwork (To the right, 6-yard box, Head, Open play) 79Geoffroy Serey Dié is substituted off 79Alexander Fransson is substituted on 88Raoul Petretta assists a goal (Key pass, Open play) 88GOAL! Michael Lang scores , Assisted by Raoul Petretta (Low to the right, 6-yard box, Big Chance, Right footed, Open play)","0Formation Set  433  433 63Jesse Lingard is substituted off 63Marcus Rashford is substituted on 65Nemanja Matic is substituted on 65Formation Change  433  433 65Paul Pogba is substituted off 70Formation Change  433  433 73Anthony Martial is substituted off 73Zlatan Ibrahimovic is substituted on 73Formation Change  433  433 82Matteo Darmian recieves a yellow card","Player Statistics","https://www.whoscored.com/Matches/1238299/LiveStatistics/Europe-UEFA-Champions-League-2017-2018-FC-Basel-1893-Manchester-United","FC Basel 18931 : 0Manchester UnitedElapsed:FTHalf time:0 : 0Full time:1 : 0Kick off:19:45Date:Wed, 22-Nov-17","13Shots146Shots on target478%Pass Success %87%27%Aerial Duel Success73%7Dribbles won713Tackles15Possession32%68%","","R		Player  TotalTackles Interceptions Clearances BlockedShots FoulsRating Key Events 1 	Sergio Romero  31,  GK     0	0	1	0	0	7.12  2 	Matteo Darmian  28,  DR     4	1	2	0	3	6.70   3 	Marcos Rojo  27,  DC     1	3	3	1	2	6.55  4 	Chris Smalling  28,  DC     0	0	4	0	0	6.56  5 	Daley Blind  28,  DL     1	2	3	0	1	7.24  6 	Marouane Fellaini  30,  MC     1	0	5	0	2	6.99  7 	Paul Pogba (65′) 24,  MC     1	1	0	0	2	6.83  8 	Ander Herrera  28,  MC     3	3	3	0	1	7.16  9 	Jesse Lingard (63′) 25,  FWR     3	0	0	0	2	6.31  10 	Romelu Lukaku  24,  FW     0	0	1	0	0	6.68  11 	Anthony Martial (73′) 22,  FWL     0	1	0	0	0	6.62  12 	Nemanja Matic (65′) 29,  Sub     0	0	1	0	0	6.36  13 	Zlatan Ibrahimovic (73′) 36,  Sub     0	0	0	0	0	6.05  14 	Marcus Rashford (63′) 20,  Sub     1	0	0	0	0	5.99  15 	Joel Pereira  21,  Sub     0	0	0	0	0	-  16 	Victor Lindelöf  23,  Sub     0	0	0	0	0	-  17 	Luke Shaw  22,  Sub     0	0	0	0	0	-  18 	Scott McTominay  21,  Sub     0	0	0	0	0	-"
"1520633790-1836","https://www.whoscored.com/Teams/32/Fixtures/England-Manchester-United","2 : 0","https://www.whoscored.com/Matches/1238297/Live/Europe-UEFA-Champions-League-2017-2018-Manchester-United-Benfica","0Formation Set  4231  4231 14Anthony Martial has attempt saved (Low to the left, 18-yard box, Big Chance, Penalty, Right footed)  23Jesse Lingard recieves a yellow card 23Eric Bailly recieves a yellow card 44Mile Svilar scores an OWN GOAL!  (Low to the centre, 6-yard box, Other body part, Open play) 44Nemanja Matic hits the woodwork (To the right, Out of box, Left footed, Open play) 45Henrikh Mkhitaryan is substituted on 45Jesse Lingard is substituted off 67Juan Mata is substituted off 67Formation Change  433  433 67Ander Herrera is substituted on 74Marcus Rashford is substituted on 74Anthony Martial is substituted off 77GOAL! Daley Blind scores  (Low to the centre, 18-yard box, Big Chance, Penalty, Left footed)","0Formation Set  433  433 5Rúben Dias recieves a yellow card 14Mile Svilar PenaltyFaced (Saved, Diving, To the right, Penalty) 63Alejandro Grimaldo is substituted off 63Eliseu is substituted on 64Raúl Jiménez hits the woodwork (To the left, 18-yard box, Big Chance, Left footed, Open play) 68Eduardo Salvio recieves a yellow card 73Haris Seferovic is substituted on 73Raúl Jiménez is substituted off 76Andreas Samaris recieves a yellow card 78Pizzi is substituted off 78Jonas is substituted on","Player Statistics","https://www.whoscored.com/Matches/1238297/LiveStatistics/Europe-UEFA-Champions-League-2017-2018-Manchester-United-Benfica","Manchester United2 : 0BenficaElapsed:FTHalf time:1 : 0Full time:2 : 0Kick off:19:45Date:Tue, 31-Oct-17","16Shots125Shots on target486%Pass Success %83%59%Aerial Duel Success41%12Dribbles won1125Tackles15Possession51%49%","R		Player  KeyPasses Passes PA% Crosses AccCrosses LB AccLB ThB AccThBRating Key Events 1 	David de Gea  27,  GK     0	24	70.8	0	0	14	7	0	0	7.69  2 	Matteo Darmian  28,  DR     0	47	72.3	2	0	4	0	0	0	7.40  3 	Chris Smalling  28,  DC     0	54	94.4	0	0	2	2	0	0	6.97  4 	Eric Bailly  23,  DC     0	59	88.1	0	0	2	0	0	0	6.62   5 	Daley Blind  28,  DL     2	50	86	5	1	5	3	0	0	8.08   6 	Nemanja Matic  29,  DMC     0	84	88.1	0	0	12	8	0	0	7.13   7 	Scott McTominay  21,  DMC     0	65	86.2	0	0	5	1	0	0	7.61  8 	Juan Mata (67′) 29,  AMR     0	34	82.4	2	0	0	0	0	0	6.49  9 	Jesse Lingard (45′) 25,  AMC     1	13	100	0	0	0	0	0	0	6.25   10 	Anthony Martial (74′) 22,  AML     2	28	78.6	2	1	1	1	0	0	6.56   11 	Romelu Lukaku  24,  FW     4	21	76.2	1	0	0	0	1	1	7.78  12 	Henrikh Mkhitaryan (45′) 29,  Sub     0	32	87.5	0	0	3	2	1	1	6.42  13 	Ander Herrera (67′) 28,  Sub     0	20	95	1	0	1	1	0	0	6.62  14 	Marcus Rashford (74′) 20,  Sub     1	7	100	0	0	0	0	0	0	7.02  15 	Sergio Romero  31,  Sub     0	0	0	0	0	0	0	0	0	-  16 	Victor Lindelöf  23,  Sub     0	0	0	0	0	0	0	0	0	-  17 	Ashley Young  32,  Sub     0	0	0	0	0	0	0	0	0	-  18 	Luke Shaw  22,  Sub     0	0	0	0	0	0	0	0	0	-",""
"1520634016-1995","https://www.whoscored.com/Teams/32/Fixtures/England-Manchester-United","4 : 0","https://www.whoscored.com/Matches/1190198/Live/England-Premier-League-2017-2018-Manchester-United-Everton","0Formation Set  4231  4231 3Nemanja Matic assists a goal (Long Ball, Off the ground, Key pass, Open play) 3GOAL! Antonio Valencia scores , Assisted by Nemanja Matic (High to the left, Out of box, Right footed, Open play) 60Jesse Lingard is substituted on 60Marcus Rashford is substituted off 63Juan Mata hits the woodwork (To the left, Out of box, Left footed, Free kick) 76Juan Mata is substituted off 76Ander Herrera is substituted on 76Formation Change  4231  4231 81Eric Bailly recieves a yellow card 82Romelu Lukaku assists a goal (Key pass, Open play) 82GOAL! Henrikh Mkhitaryan scores , Assisted by Romelu Lukaku (Low to the right, 18-yard box, Big Chance, Right footed, Open play) 87Henrikh Mkhitaryan is substituted off 87Anthony Martial is substituted on 88Jesse Lingard assists a goal (Headed, Key pass, Set piece) 88GOAL! Romelu Lukaku scores , Assisted by Jesse Lingard (Low to the right, 6-yard box, Big Chance, Right footed, Set piece) 91GOAL! Anthony Martial scores  (Low to the left, 18-yard box, Big Chance, Penalty, Right footed)","0Formation Set  3421  3421 62Ashley Williams recieves a yellow card 65Sandro Ramírez is substituted on 65Tom Davies is substituted off 75Idrissa Gueye is substituted off 75Dominic Calvert-Lewin is substituted on 75Formation Change  3421  3421 81Wayne Rooney is substituted off 81Kevin Mirallas is substituted on 81Formation Change  3421  3421 82Ashley Williams commits an error (Leading to goal)","Player Statistics","https://www.whoscored.com/Matches/1190198/LiveStatistics/England-Premier-League-2017-2018-Manchester-United-Everton","Manchester United4 : 0EvertonElapsed:FTHalf time:1 : 0Full time:4 : 0Kick off:16:00Date:Sun, 17-Sep-17","16Shots77Shots on target385%Pass Success %80%64%Aerial Duel Success36%9Dribbles won414Tackles22Possession49%51%","R		Player  Shots ShotsOT KeyPasses Dribbles Fouled Offsides Disp UnsTouchesRating Key Events 1 	David de Gea  27,  GK     0	0	0	0	1	0	0	0	7.50  2 	Antonio Valencia  32,  DR     1	1	0	1	0	0	1	0	7.78   3 	Phil Jones  26,  DC     0	0	0	0	2	0	0	1	7.34  4 	Eric Bailly  23,  DC     1	0	0	0	0	0	1	0	6.99   5 	Ashley Young  32,  DL     0	0	1	2	2	0	1	1	7.86  6 	Marouane Fellaini  30,  DMC     1	1	0	0	0	0	1	1	8.09  7 	Nemanja Matic  29,  DMC     1	0	1	1	1	0	0	0	7.95   8 	Juan Mata (76′) 29,  AMR     1	0	3	0	1	0	0	1	7.01   9 	Henrikh Mkhitaryan (87′) 29,  AMC     1	1	2	1	1	0	1	1	7.92   10 	Marcus Rashford (60′) 20,  AML     2	0	1	1	1	0	2	0	6.46  11 	Romelu Lukaku  24,  FW     4	2	1	0	1	0	3	2	8.32    12 	Anthony Martial (87′) 22,  Sub     1	1	0	2	0	0	0	0	7.07   13 	Ander Herrera (76′) 28,  Sub     0	0	0	0	1	0	0	0	6.41  14 	Jesse Lingard (60′) 25,  Sub     3	1	1	1	2	2	1	0	7.24   15 	Sergio Romero  31,  Sub     0	0	0	0	0	0	0	0	-  16 	Matteo Darmian  28,  Sub     0	0	0	0	0	0	0	0	-  17 	Chris Smalling  28,  Sub     0	0	0	0	0	0	0	0	-  18 	Michael Carrick  36,  Sub     0	0	0	0	0	0	0	0	-",""
"1520633858-1879","https://www.whoscored.com/Teams/32/Fixtures/England-Manchester-United","2 : 1","https://www.whoscored.com/Matches/1190226/Live/England-Premier-League-2017-2018-Huddersfield-Manchester-United","0Formation Set  4231  4231 7Tommy Smith recieves a yellow card 8Christopher Schindler recieves a yellow card 27GOAL! Aaron Mooy scores  (Low to the right, 18-yard box, Big Chance, Left footed, Fast break) 32GOAL! Laurent Depoitre scores , Assisted by Jonas Lössl (Low to the centre, 18-yard box, Big Chance, Left footed, Open play) 32Jonas Lössl assists a goal (Long Ball, Key pass, Open play) 38Elias Kachunga is substituted off 38Rajiv van La Parra is substituted on 65Aaron Mooy recieves a yellow card 69Laurent Depoitre is substituted off 69Steve Mounie is substituted on 78Danny Williams recieves a yellow card 80Formation Change  4141  4141 80Formation Change  4141  4141 92Tom Ince is substituted off 92Scott Malone is substituted on","0Formation Set  4231  4231 7Anthony Martial recieves a yellow card 22Victor Lindelöf is substituted on 22Phil Jones is substituted off 22Formation Change  4231  4231 27Juan Mata commits an error (Leading to goal) 32Victor Lindelöf commits an error (Leading to goal) 45Henrikh Mkhitaryan is substituted on 45Marcus Rashford is substituted on 45Juan Mata is substituted off 45Formation Change  352  352 45Anthony Martial is substituted off 59Ashley Young recieves a yellow card 65Formation Change  4231  4231 77Romelu Lukaku assists a goal (Off the ground, Cross, Key pass, Open play) 77GOAL! Marcus Rashford scores , Assisted by Romelu Lukaku (Low to the left, 18-yard box, Big Chance, Head, Open play)","Player Statistics","https://www.whoscored.com/Matches/1190226/LiveStatistics/England-Premier-League-2017-2018-Huddersfield-Manchester-United","Huddersfield2 : 1Manchester UnitedElapsed:FTHalf time:2 : 0Full time:2 : 1Kick off:15:00Date:Sat, 21-Oct-17","5Shots93Shots on target354%Pass Success %87%50%Aerial Duel Success50%11Dribbles won1327Tackles13Possession22%78%","",""
"1520633903-1915","https://www.whoscored.com/Teams/32/Fixtures/England-Manchester-United","0 : 0","https://www.whoscored.com/Matches/1190270/Live/England-Premier-League-2017-2018-Liverpool-Manchester-United","0Formation Set  433  433 77Mohamed Salah is substituted off 77Alex Oxlade-Chamberlain is substituted on 78Philippe Coutinho is substituted off 78Daniel Sturridge is substituted on 78Formation Change  433  433 86Roberto Firmino is substituted off 86Dominic Solanke is substituted on","0Formation Set  4231  4231 62Jesse Lingard is substituted on 62Henrikh Mkhitaryan is substituted off 64Anthony Martial is substituted off 64Marcus Rashford is substituted on 73Chris Smalling recieves a yellow card 86Ashley Young recieves a yellow card 92Ashley Young is substituted off 92Victor Lindelöf is substituted on","Player Statistics","https://www.whoscored.com/Matches/1190270/LiveStatistics/England-Premier-League-2017-2018-Liverpool-Manchester-United","Liverpool0 : 0Manchester UnitedElapsed:FTHalf time:0 : 0Full time:0 : 0Kick off:12:30Date:Sat, 14-Oct-17","19Shots65Shots on target186%Pass Success %74%50%Aerial Duel Success50%22Dribbles won1017Tackles21Possession62%38%","R		Player  Shots ShotsOT KeyPasses Dribbles Fouled Offsides Disp UnsTouchesRating Key Events 1 	Simon Mignolet  30,  GK     0	0	0	0	0	0	0	0	6.75  2 	Joseph Gomez  20,  DR     1	0	2	0	2	0	0	2	7.44  3 	Joel Matip  26,  DC     3	1	0	1	0	0	0	0	7.02  4 	Dejan Lovren  28,  DC     1	0	0	0	0	0	0	0	7.63  5 	Alberto Moreno  25,  DL     0	0	0	0	2	0	0	1	7.35  6 	Emre Can  24,  MC     1	0	0	1	3	0	1	1	6.77  7 	Georginio Wijnaldum  27,  MC     3	2	1	3	0	0	2	2	7.24  8 	Jordan Henderson  27,  MC     0	0	4	0	0	0	0	0	7.07  9 	Mohamed Salah (77′) 25,  FWR     4	1	2	8	0	2	4	3	7.56  10 	Roberto Firmino (86′) 26,  FW     4	1	5	4	1	1	5	3	7.49  11 	Philippe Coutinho (78′) 25,  FWL     2	0	1	4	4	0	2	2	6.56  12 	Alex Oxlade-Chamberlain (77′) 24,  Sub     0	0	2	1	0	0	0	0	6.60  13 	Dominic Solanke (86′) 20,  Sub     0	0	0	0	0	0	1	0	5.97  14 	Daniel Sturridge (78′) 28,  Sub     0	0	0	0	1	0	1	0	6.03  15 	Ragnar Klavan  32,  Sub     0	0	0	0	0	0	0	0	-  16 	Loris Karius  24,  Sub     0	0	0	0	0	0	0	0	-  17 	Trent Alexander-Arnold  19,  Sub     0	0	0	0	0	0	0	0	-  18 	James Milner  32,  Sub     0	0	0	0	0	0	0	0	-",""
"1520634151-2086","https://www.whoscored.com/Teams/32/Fixtures/England-Manchester-United","2 : 1","https://www.whoscored.com/Matches/1186875/Live/Europe-UEFA-Super-Cup-2016-2017-Real-Madrid-Manchester-United","0Formation Set  41212  41212 15Casemiro hits the woodwork (High, 18-yard box, Head, From corner) 23GOAL! Casemiro scores , Assisted by Daniel Carvajal (Low to the right, 18-yard box, Big Chance, Left footed, Open play) 23Daniel Carvajal assists a goal (Through Ball, Off the ground, Key pass, Open play) 51GOAL! Isco scores , Assisted by Gareth Bale (Low to the right, 18-yard box, Big Chance, Right footed, Open play) 51Gareth Bale assists a goal (Key pass, Open play) 60Gareth Bale hits the woodwork (High, 18-yard box, Right footed, Open play) 73Lucas Vázquez is substituted on 73Gareth Bale is substituted off 73Isco is substituted off 73Formation Change  4141  4141 73Marco Asensio is substituted on 82Karim Benzema is substituted off 82Cristiano Ronaldo is substituted on 83Daniel Carvajal recieves a yellow card 85Sergio Ramos recieves a yellow card","0Formation Set  352  352 41Jesse Lingard recieves a yellow card 45Jesse Lingard is substituted off 45Marcus Rashford is substituted on 55Ander Herrera is substituted off 55Marouane Fellaini is substituted on 61GOAL! Romelu Lukaku scores  (Low to the centre, 18-yard box, Big Chance, Right footed, Open play) 93Marcus Rashford recieves a yellow card","Player Statistics","https://www.whoscored.com/Matches/1186875/LiveStatistics/Europe-UEFA-Super-Cup-2016-2017-Real-Madrid-Manchester-United","Real Madrid2 : 1Manchester UnitedElapsed:FTHalf time:1 : 0Full time:2 : 1Kick off:19:45Date:Tue, 08-Aug-17","16Shots136Shots on target688%Pass Success %80%50%Aerial Duel Success50%6Dribbles won614Tackles22Possession64%36%","",""
"1520633701-1769","https://www.whoscored.com/Teams/32/Fixtures/England-Manchester-United","1 : 0","https://www.whoscored.com/Matches/1190314/Live/England-Premier-League-2017-2018-Manchester-United-Brighton","0Formation Set  4231  4231 61Juan Mata is substituted off 61Formation Change  4231  4231 61Zlatan Ibrahimovic is substituted on 65Lewis Dunk scores an OWN GOAL!  (High to the right, 18-yard box, Right footed, From corner) 70Henrikh Mkhitaryan is substituted on 70Anthony Martial is substituted off 70Formation Change  4231  4231 79Marcus Rashford is substituted off 79Marouane Fellaini is substituted on 79Formation Change  433  433","0Formation Set  451  451 58Glenn Murray recieves a yellow card 74Glenn Murray is substituted off 74Tomer Hemed is substituted on 74Solly March is substituted off 74José Izquierdo is substituted on 86Shane Duffy recieves a yellow card 87Pascal Groß is substituted off 87Isaiah Brown is substituted on 87Formation Change  4411  4411","Player Statistics","https://www.whoscored.com/Matches/1190314/LiveStatistics/England-Premier-League-2017-2018-Manchester-United-Brighton","Manchester United1 : 0BrightonElapsed:FTHalf time:0 : 0Full time:1 : 0Kick off:15:00Date:Sat, 25-Nov-17","15Shots84Shots on target285%Pass Success %76%50%Aerial Duel Success50%18Dribbles won510Tackles18Possession58%42%","R		Player  Shots ShotsOT KeyPasses PA% AerialsWon TouchesRating Key Events 1 	David de Gea  27,  GK     0	0	0	77.8	0	25	6.95  2 	Antonio Valencia  32,  DR     0	0	1	90.2	1	87	7.33  3 	Victor Lindelöf  23,  DC     0	0	0	86.5	1	60	7.03  4 	Chris Smalling  28,  DC     1	0	0	87.8	4	51	7.40  5 	Ashley Young  32,  DL     3	0	1	75.6	0	70	7.46  6 	Paul Pogba  24,  DMC     2	1	2	85.6	0	128	7.64  7 	Nemanja Matic  29,  DMC     0	0	0	89.5	2	95	7.02  8 	Juan Mata (61′) 29,  AMR     1	1	2	84.4	1	43	6.51  9 	Marcus Rashford (79′) 20,  AMC     1	0	2	82.8	0	59	7.44  10 	Anthony Martial (70′) 22,  AML     0	0	2	86.2	0	41	6.16  11 	Romelu Lukaku  24,  FW     5	2	0	70.8	4	40	7.39  12 	Henrikh Mkhitaryan (70′) 29,  Sub     0	0	1	88.9	0	13	6.11  13 	Marouane Fellaini (79′) 30,  Sub     0	0	0	60	1	15	6.47  14 	Zlatan Ibrahimovic (61′) 36,  Sub     2	0	1	81.8	0	27	6.25  15 	Sergio Romero  31,  Sub     0	0	0	0	0	0	-  16 	Marcos Rojo  27,  Sub     0	0	0	0	0	0	-  17 	Ander Herrera  28,  Sub     0	0	0	0	0	0	-  18 	Scott McTominay  21,  Sub     0	0	0	0	0	0	-",""
"1520633227-1432","https://www.whoscored.com/Teams/32/Fixtures/England-Manchester-United","2 : 1","https://www.whoscored.com/Matches/1190446/Live/England-Premier-League-2017-2018-Manchester-United-Chelsea","0Formation Set  433  433 38Anthony Martial assists a goal (Key pass, Open play) 38GOAL! Romelu Lukaku scores , Assisted by Anthony Martial (Low to the left, 18-yard box, Big Chance, Left footed, Open play) 63Jesse Lingard is substituted on 63Anthony Martial is substituted off 67Antonio Valencia recieves a yellow card 74Romelu Lukaku assists a goal (Cross, Off the ground, Key pass, Open play) 74GOAL! Jesse Lingard scores , Assisted by Romelu Lukaku (Low to the right, 18-yard box, Big Chance, Head, Open play) 80Alexis Sánchez is substituted off 80Eric Bailly is substituted on 80Formation Change  541  541 84Nemanja Matic recieves a yellow card","0Formation Set  3421  3421 3Álvaro Morata hits the woodwork (High, 18-yard box, Big Chance, Right footed, Open play) 29N'Golo Kanté recieves a yellow card 31Eden Hazard assists a goal (Through Ball, Key pass, Fast break) 31GOAL! Willian scores , Assisted by Eden Hazard (Low to the right, 18-yard box, Big Chance, Right footed, Fast break) 72Pedro is substituted on 72Eden Hazard is substituted off 77Victor Moses is substituted off 77Olivier Giroud is substituted on 80Daniel Drinkwater is substituted off 80Cesc Fàbregas is substituted on 80Formation Change  442  442 87Álvaro Morata recieves a yellow card","Player Statistics","https://www.whoscored.com/Matches/1190446/LiveStatistics/England-Premier-League-2017-2018-Manchester-United-Chelsea","Manchester United2 : 1ChelseaElapsed:FTHalf time:1 : 1Full time:2 : 1Kick off:14:05Date:Sun, 25-Feb-18","10Shots145Shots on target781%Pass Success %86%59%Aerial Duel Success41%13Dribbles won1520Tackles22Possession44%56%","",""
