web-scraper-order,web-scraper-start-url,matches,matches-href,summary_home,summary_away,gotosummary,gotosummary-href,matchsummary,teamstatistics,home_data_summary,away_data_summary
"1520639685-3579","https://www.whoscored.com/Teams/13/Fixtures/England-Arsenal","*1 : 2","https://www.whoscored.com/Matches/1250853/Live/Europe-UEFA-Europa-League-2017-2018-Arsenal-Oestersunds-FK","0Formation Set  4231  4231 21Sead Kolasinac commits an error (Leading to goal) 42Ainsley Maitland-Niles recieves a yellow card 45Ainsley Maitland-Niles is substituted off 45Granit Xhaka is substituted on 46Héctor Bellerín assists a goal (Off the ground, Key pass, Open play) 46GOAL! Sead Kolasinac scores , Assisted by Héctor Bellerín (High to the left, 18-yard box, Right footed, Open play) 75Joe Willock is substituted on 75Formation Change  4231  4231 75Jack Wilshere is substituted off 87Henrikh Mkhitaryan recieves a yellow card 91Alex Iwobi is substituted off 91Reiss Nelson is substituted on","0Formation Set  442  442 21Saman Ghoddos assists a goal (Key pass, Open play) 21GOAL! Hosam Aiesh scores , Assisted by Saman Ghoddos (Low to the left, 18-yard box, Right footed, Open play) 22Saman Ghoddos assists a goal (Off the ground, Long Ball, Key pass, Open play) 23GOAL! Ken Sema scores , Assisted by Saman Ghoddos (Low to the right, 18-yard box, Left footed, Open play) 46Ronald Mukiibi commits an error (Leading to goal) 51Hosam Aiesh is substituted off 51Tesfaldet Tekie is substituted on 72Ronald Mukiibi is substituted off 72Dino Islamovic is substituted on 78Curtis Edwards recieves a yellow card 80Jamie Hopcutt is substituted off 80Frank Arhin is substituted on 93Dennis Widgren recieves a yellow card","Player Statistics","https://www.whoscored.com/Matches/1250853/LiveStatistics/Europe-UEFA-Europa-League-2017-2018-Arsenal-Oestersunds-FK","Arsenal*1 : 2Oestersunds FKElapsed:FTHalf time:0 : 2Full time:1 : 2Kick off:20:05Date:Thu, 22-Feb-18","15Shots116Shots on target484%Pass Success %82%61%Aerial Duel Success39%16Dribbles won1618Tackles23Possession56%44%","R		Player  Shots ShotsOT KeyPasses Dribbles Fouled Offsides Disp UnsTouchesRating Key Events 1 	David Ospina  29,  GK     0	0	0	0	0	0	0	0	6.13  2 	Héctor Bellerín  22,  DR     1	0	2	1	1	0	0	0	7.36   3 	Rob Holding  22,  DC     1	0	1	0	1	0	0	1	6.79  4 	Calum Chambers  23,  DC     2	0	0	3	0	0	0	0	6.83  5 	Sead Kolasinac  24,  DL     1	1	1	2	1	0	0	1	6.93    6 	Mohamed Elneny  25,  DMC     1	1	1	0	1	0	1	0	6.67  7 	Ainsley Maitland-Niles (45′) 20,  DMC     0	0	0	2	0	0	1	0	5.97   8 	Henrikh Mkhitaryan  29,  AMR     0	0	2	0	4	1	1	2	6.58   9 	Jack Wilshere (75′) 26,  AMC     2	0	2	1	1	0	1	2	6.38  10 	Alex Iwobi (91′) 21,  AML     2	0	1	4	2	0	1	1	6.84  11 	Danny Welbeck  27,  FW     4	4	0	2	1	0	1	1	7.12  12 	Granit Xhaka (45′) 25,  Sub     0	0	2	1	0	0	0	0	6.92  13 	Joe Willock (75′) 18,  Sub     1	0	0	0	1	0	0	0	6.14  14 	Reiss Nelson (91′) 18,  Sub     0	0	0	0	0	0	0	0	5.98  15 	Shkodran Mustafi  25,  Sub     0	0	0	0	0	0	0	0	-  16 	Nacho Monreal  32,  Sub     0	0	0	0	0	0	0	0	-  17 	Eddie Nketiah  18,  Sub     0	0	0	0	0	0	0	0	-  18 	Matt Macey  23,  Sub     0	0	0	0	0	0	0	0	-",""
"1520640282-3981","https://www.whoscored.com/Teams/13/Fixtures/England-Arsenal","0 : 0","https://www.whoscored.com/Matches/1239173/Live/Europe-UEFA-Europa-League-2017-2018-Arsenal-FK-Crvena-Zvezda","0Formation Set  3421  3421 4Rob Holding tackles and wins possession (Last line) 67Joe Willock is substituted off 67Eddie Nketiah is substituted on 67Formation Change  3421  3421 69Rob Holding recieves a yellow card","0Formation Set  4231  4231 63Damien Le Tallec blocks a shot (Last line) 69Guélor Kanga is substituted off 69Nemanja Milic is substituted on 77Formation Change  4231  4231 85Uros Racic is substituted on 85Slavoljub Srnic is substituted off 88Aleksandar Pesic is substituted on 88Nemanja Radonjic is substituted off","Player Statistics","https://www.whoscored.com/Matches/1239173/LiveStatistics/Europe-UEFA-Europa-League-2017-2018-Arsenal-FK-Crvena-Zvezda","Arsenal0 : 0FK Crvena ZvezdaElapsed:FTHalf time:0 : 0Full time:0 : 0Kick off:20:05Date:Thu, 02-Nov-17","11Shots73Shots on target383%Pass Success %75%63%Aerial Duel Success37%16Dribbles won317Tackles21Possession64%36%","",""
"1520640259-3969","https://www.whoscored.com/Teams/13/Fixtures/England-Arsenal","3 : 1","https://www.whoscored.com/Matches/1190292/Live/England-Premier-League-2017-2018-Manchester-City-Arsenal","0Formation Set  433  433 18Fernandinho assists a goal (Key pass, Open play) 18GOAL! Kevin De Bruyne scores , Assisted by Fernandinho (Low to the right, 18-yard box, Left footed, Open play) 49GOAL! Sergio Agüero scores  (Low to the right, 18-yard box, Big Chance, Penalty, Right footed) 61Gabriel Jesus is substituted on 61Sergio Agüero is substituted off 72Nicolás Otamendi recieves a yellow card 73GOAL! Gabriel Jesus scores , Assisted by David Silva (Low to the centre, 6-yard box, Big Chance, Right footed, Open play) 73David Silva assists a goal (Key pass, Open play) 77Ilkay Gündogan is substituted on 77Raheem Sterling is substituted off 86Leroy Sané is substituted off 86Bernardo Silva is substituted on 86Formation Change  433  433","0Formation Set  3421  3421 48Nacho Monreal recieves a yellow card 55Alexandre Lacazette is substituted on 55Francis Coquelin is substituted off 56Formation Change  4231  4231 58Alexandre Lacazette recieves a yellow card 64Aaron Ramsey assists a goal (Key pass, Open play) 64GOAL! Alexandre Lacazette scores , Assisted by Aaron Ramsey (Low to the left, 18-yard box, Right footed, Open play) 66Laurent Koscielny recieves a yellow card 74Granit Xhaka recieves a yellow card 76Alexis Sánchez recieves a yellow card 77Alex Iwobi is substituted off 77Jack Wilshere is substituted on 77Granit Xhaka is substituted off 77Olivier Giroud is substituted on 77Formation Change  4231  4231 90Mesut Özil recieves a yellow card","Player Statistics","https://www.whoscored.com/Matches/1190292/LiveStatistics/England-Premier-League-2017-2018-Manchester-City-Arsenal","Manchester City3 : 1ArsenalElapsed:FTHalf time:1 : 0Full time:3 : 1Kick off:14:15Date:Sun, 05-Nov-17","9Shots65Shots on target387%Pass Success %81%50%Aerial Duel Success50%16Dribbles won518Tackles16Possession58%42%","","R		Player  Shots ShotsOT KeyPasses PA% AerialsWon TouchesRating Key Events 1 	Petr Cech  35,  GK     0	0	0	69.6	0	33	6.34  2 	Laurent Koscielny  32,  DC     0	0	0	88.4	2	58	6.48   3 	Francis Coquelin (55′) 26,  DC     0	0	0	60.9	0	29	6.09  4 	Nacho Monreal  32,  DC     0	0	0	86	1	64	5.91   5 	Héctor Bellerín  22,  DMR     0	0	0	86.5	0	54	6.03  6 	Sead Kolasinac  24,  DML     0	0	0	83.7	0	73	6.16  7 	Granit Xhaka (77′) 25,  MC     0	0	0	84.4	1	54	5.84   8 	Aaron Ramsey  27,  MC     1	1	2	90	0	57	6.90   9 	Mesut Özil  29,  AMC     1	0	0	80.9	0	62	6.00   10 	Alex Iwobi (77′) 21,  AMC     2	1	0	84.4	0	44	6.18  11 	Alexis Sánchez  29,  FW     1	0	2	75	1	56	5.82   12 	Alexandre Lacazette (55′) 26,  Sub     1	1	0	70	0	12	6.78    13 	Olivier Giroud (77′) 31,  Sub     0	0	0	50	0	6	5.92  14 	Jack Wilshere (77′) 26,  Sub     0	0	0	90.9	0	15	6.37  15 	Mohamed Elneny  25,  Sub     0	0	0	0	0	0	-  16 	Mathieu Debuchy  32,  Sub     0	0	0	0	0	0	-  17 	Matt Macey  23,  Sub     0	0	0	0	0	0	-  18 	Theo Walcott  28,  Sub     0	0	0	0	0	0	-"
"1520639710-3601","https://www.whoscored.com/Teams/13/Fixtures/England-Arsenal","0 : 3","https://www.whoscored.com/Matches/1250837/Live/Europe-UEFA-Europa-League-2017-2018-Oestersunds-FK-Arsenal","0Formation Set  352  352 11Sotiris Papagiannopoulos blocks a shot (Last line) 12Aly Keita commits an error (Leading to goal) 23Tom Pettersson commits an error (Leading to goal) 45Brwa Nouri is substituted off 45Tesfaldet Tekie is substituted on 45Alhaji Gero is substituted off 45Formation Change  4141  4141 45Jamie Hopcutt is substituted on 72Dennis Widgren is substituted off 72Douglas Bergqvist is substituted on 90Tom Pettersson has attempt saved (Low to the left, 18-yard box, Big Chance, Penalty, Left footed)","0Formation Set  4231  4231 12GOAL! Nacho Monreal scores  (Low to the right, 6-yard box, Big Chance, Right footed, From corner) 23Sotiris Papagiannopoulos scores an OWN GOAL!  (Low to the left, 6-yard box, Other body part, Open play) 57Henrikh Mkhitaryan assists a goal (Key pass, Open play) 57GOAL! Mesut Özil scores , Assisted by Henrikh Mkhitaryan (Low to the centre, 18-yard box, Left footed, Open play) 72Nacho Monreal is substituted off 72Sead Kolasinac is substituted on 82Danny Welbeck is substituted off 82Eddie Nketiah is substituted on 83Henrikh Mkhitaryan is substituted off 83Reiss Nelson is substituted on 90David Ospina PenaltyFaced (Diving, Saved, To the right, Penalty)","Player Statistics","https://www.whoscored.com/Matches/1250837/LiveStatistics/Europe-UEFA-Europa-League-2017-2018-Oestersunds-FK-Arsenal","Oestersunds FK0 : 3ArsenalElapsed:FTHalf time:0 : 2Full time:0 : 3Kick off:18:00Date:Thu, 15-Feb-18","10Shots175Shots on target686%Pass Success %92%0%Aerial Duel Success100%19Dribbles won1422Tackles17Possession39%61%","","R		Player  Shots ShotsOT KeyPasses PA% AerialsWon TouchesRating Key Events 1 	David Ospina  29,  GK     0	0	0	82.8	0	36	8.44   2 	Héctor Bellerín  22,  DR     0	0	0	92.6	0	104	6.75  3 	Shkodran Mustafi  25,  DC     0	0	0	93.9	0	95	7.69  4 	Calum Chambers  23,  DC     0	0	0	93.9	1	110	7.00  5 	Nacho Monreal (72′) 32,  DL     2	1	0	90.4	1	68	7.79   6 	Mohamed Elneny  25,  DMC     2	0	1	97.3	0	120	7.21  7 	Ainsley Maitland-Niles  20,  DMC     0	0	1	93.6	0	115	8.03  8 	Henrikh Mkhitaryan (83′) 29,  AMR     6	3	3	82	0	81	7.46   9 	Mesut Özil  29,  AMC     2	1	3	89.6	0	108	7.88   10 	Alex Iwobi  21,  AML     2	1	3	89	0	96	7.66  11 	Danny Welbeck (82′) 27,  FW     3	0	3	92	2	38	7.56  12 	Sead Kolasinac (72′) 24,  Sub     0	0	0	77.8	0	15	6.31  13 	Reiss Nelson (83′) 18,  Sub     0	0	0	87.5	0	12	5.93  14 	Eddie Nketiah (82′) 18,  Sub     0	0	0	100	0	5	5.99  15 	Granit Xhaka  25,  Sub     0	0	0	0	0	0	-  16 	Matt Macey  23,  Sub     0	0	0	0	0	0	-  17 	Rob Holding  22,  Sub     0	0	0	0	0	0	-  18 	Joe Willock  18,  Sub     0	0	0	0	0	0	-"
"1520640361-4040","https://www.whoscored.com/Teams/13/Fixtures/England-Arsenal","0 : 1","https://www.whoscored.com/Matches/1239171/Live/Europe-UEFA-Europa-League-2017-2018-FK-Crvena-Zvezda-Arsenal","0Formation Set  451  451 25Richmond Boakye hits the woodwork (High, 18-yard box, Head, From corner) 31Milan Rodic recieves a yellow card 59Richmond Boakye recieves a yellow card 62Damien Le Tallec recieves a yellow card 65Vujadin Savic is substituted off 65Srdjan Babic is substituted on 68Formation Change  451  451 79Aleksandar Pesic is substituted on 79Richmond Boakye is substituted off 79Milan Rodic recieves a red card after receiving second yellow card 82Slavoljub Srnic is substituted off 82Marko Gobeljic is substituted on 82Formation Change  451  451 85Milan Borjan recieves a yellow card 89Srdjan Babic recieves a yellow card","0Formation Set  3421  3421 63Francis Coquelin recieves a yellow card 84Theo Walcott assists a goal (Headed, Key pass, Open play) 84GOAL! Olivier Giroud scores , Assisted by Theo Walcott (High to the left, 18-yard box, Left footed, Open play) 88Joe Willock is substituted off 88Marcus McGuane is substituted on 88Francis Coquelin is substituted off 88Ben Sheaf is substituted on 91Reiss Nelson recieves a yellow card","Player Statistics","https://www.whoscored.com/Matches/1239171/LiveStatistics/Europe-UEFA-Europa-League-2017-2018-FK-Crvena-Zvezda-Arsenal","FK Crvena Zvezda0 : 1ArsenalElapsed:FTHalf time:0 : 0Full time:0 : 1Kick off:18:00Date:Thu, 19-Oct-17","11Shots113Shots on target577%Pass Success %86%22%Aerial Duel Success78%5Dribbles won1918Tackles19Possession39%61%","","R		Player  KeyPasses Passes PA% Crosses AccCrosses LB AccLB ThB AccThBRating Key Events 1 	Petr Cech  35,  GK     0	18	83.3	0	0	10	7	0	0	8.00  2 	Mohamed Elneny  25,  DC     1	61	93.4	1	1	7	4	0	0	7.22  3 	Mathieu Debuchy  32,  DC     0	66	81.8	0	0	3	0	0	0	7.60  4 	Rob Holding  22,  DC     1	60	88.3	0	0	11	8	0	0	7.26  5 	Reiss Nelson  18,  DMR     0	77	88.3	0	0	1	1	0	0	7.77   6 	Ainsley Maitland-Niles  20,  DML     0	47	87.2	1	0	3	1	0	0	7.18  7 	Francis Coquelin (88′) 26,  MC     1	66	86.4	0	0	5	1	0	0	7.37   8 	Joe Willock (88′) 18,  MC     1	60	93.3	0	0	6	3	0	0	7.00  9 	Jack Wilshere  26,  AMC     2	39	76.9	6	0	0	0	0	0	7.22  10 	Theo Walcott  28,  AMC     3	38	84.2	3	1	1	0	0	0	8.01   11 	Olivier Giroud  31,  FW     0	26	61.5	1	0	1	1	0	0	7.37   12 	Marcus McGuane (88′) 19,  Sub     0	5	80	0	0	0	0	0	0	6.04  13 	Ben Sheaf (88′) 20,  Sub     0	6	100	0	0	0	0	0	0	6.02  14 	Jordi Osei-Tutu  19,  Sub     0	0	0	0	0	0	0	0	0	-  15 	Eddie Nketiah  18,  Sub     0	0	0	0	0	0	0	0	0	-  16 	Josh Da Silva  19,  Sub     0	0	0	0	0	0	0	0	0	-  17 	Matt Macey  23,  Sub     0	0	0	0	0	0	0	0	0	-  18 	Chuba Akpom  22,  Sub     0	0	0	0	0	0	0	0	0	-"
"1520640282-3987","https://www.whoscored.com/Teams/13/Fixtures/England-Arsenal","0 : 0","https://www.whoscored.com/Matches/1239173/Live/Europe-UEFA-Europa-League-2017-2018-Arsenal-FK-Crvena-Zvezda","0Formation Set  3421  3421 4Rob Holding tackles and wins possession (Last line) 67Joe Willock is substituted off 67Eddie Nketiah is substituted on 67Formation Change  3421  3421 69Rob Holding recieves a yellow card","0Formation Set  4231  4231 63Damien Le Tallec blocks a shot (Last line) 69Guélor Kanga is substituted off 69Nemanja Milic is substituted on 77Formation Change  4231  4231 85Uros Racic is substituted on 85Slavoljub Srnic is substituted off 88Aleksandar Pesic is substituted on 88Nemanja Radonjic is substituted off","Player Statistics","https://www.whoscored.com/Matches/1239173/LiveStatistics/Europe-UEFA-Europa-League-2017-2018-Arsenal-FK-Crvena-Zvezda","Arsenal0 : 0FK Crvena ZvezdaElapsed:FTHalf time:0 : 0Full time:0 : 0Kick off:20:05Date:Thu, 02-Nov-17","11Shots73Shots on target383%Pass Success %75%63%Aerial Duel Success37%16Dribbles won317Tackles21Possession64%36%","","R		Player  Shots ShotsOT KeyPasses Dribbles Fouled Offsides Disp UnsTouchesRating Key Events 1 	Milan Borjan  30,  GK     0	0	0	0	0	0	0	0	7.34  2 	Filip Stojkovic  25,  DR     0	0	0	0	0	1	0	2	6.78  3 	Damien Le Tallec  27,  DC     0	0	0	0	0	0	0	0	7.80   4 	Vujadin Savic  27,  DC     1	1	0	0	0	0	0	0	7.53  5 	Marko Gobeljic  25,  DL     0	0	0	1	0	0	0	0	7.16  6 	Mitchell Donald  29,  DMC     0	0	0	0	1	0	1	0	6.66  7 	Nenad Krsticic  27,  DMC     0	0	0	0	0	0	1	1	6.42  8 	Slavoljub Srnic (85′) 26,  AMR     2	2	1	0	1	0	3	2	7.12  9 	Guélor Kanga (69′) 27,  AMC     1	0	2	1	1	0	5	2	6.47  10 	Nemanja Radonjic (88′) 22,  AML     1	0	1	1	0	1	0	4	6.67  11 	Richmond Boakye  25,  FW     2	0	0	0	1	1	4	5	5.95  12 	Aleksandar Pesic (88′) 25,  Sub     0	0	0	0	0	0	0	0	5.98  13 	Uros Racic (85′) 19,  Sub     0	0	0	0	0	0	0	0	6.10  14 	Nemanja Milic (69′) 27,  Sub     0	0	1	0	0	1	0	1	6.12  15 	Nemanja Supic  36,  Sub     0	0	0	0	0	0	0	0	-  16 	Abraham Frimpong  24,  Sub     0	0	0	0	0	0	0	0	-  17 	Srdjan Babic  21,  Sub     0	0	0	0	0	0	0	0	-  18 	Luka Adzic  19,  Sub     0	0	0	0	0	0	0	0	-"
"1520640683-4245","https://www.whoscored.com/Teams/13/Fixtures/England-Arsenal","1 : 1","https://www.whoscored.com/Matches/1186603/Live/England-Community-Shield-2016-2017-Arsenal-Chelsea","null","null","Player Statistics","https://www.whoscored.com/Matches/1186603/LiveStatistics/England-Community-Shield-2016-2017-Arsenal-Chelsea","Arsenal1 : 1ChelseaElapsed:FTHalf time:0 : 0Full time:1 : 1Kick off:14:00Date:Sun, 06-Aug-17","11Shots74Shots on target483%Pass Success %81%55%Aerial Duel Success45%12Dribbles won815Tackles13Possession54%46%","",""
"1520639899-3723","https://www.whoscored.com/Teams/13/Fixtures/England-Arsenal","4 : 2","https://www.whoscored.com/Matches/1250099/Live/England-FA-Cup-2017-2018-Nottingham-Forest-Arsenal","0Formation Set  4231  4231 19Kieran Dowell assists a goal (Free-kick, Off the ground, Cross, Key pass, Set piece) 19GOAL! Eric Lichaj scores , Assisted by Kieran Dowell (High to the centre, 6-yard box, Big Chance, Head, Set piece) 43GOAL! Eric Lichaj scores  (High to the left, Out of box, Right footed, Open play) 55Zach Clough is substituted off 55Tyler Walker is substituted on 63GOAL! Ben Brereton scores  (High to the right, 18-yard box, Penalty, Big Chance, Right footed) 78Jordan Smith commits an error (Leading to goal) 84GOAL! Kieran Dowell scores  (High to the centre, 18-yard box, Big Chance, Penalty, Left footed) 86Matthew Cash is substituted off 86Barrie McKay is substituted on 87Joe Worrall recieves a yellow card 88Joe Worrall recieves a red card after receiving second yellow card 92Kieran Dowell is substituted off 92Matt Mills is substituted on 92Formation Change  4231  4231","0Formation Set  4231  4231 22Rob Holding hits the woodwork (To the left, 18-yard box, Big Chance, Head, Set piece) 22GOAL! Per Mertesacker scores  (Low to the right, 18-yard box, Left footed, Set piece) 32David Ospina tackles and wins possession (Last line) 64Joe Willock is substituted off 64Formation Change  41212  41212 64Eddie Nketiah is substituted on 78GOAL! Danny Welbeck scores  (Low to the left, 18-yard box, Big Chance, Right footed, Open play) 83Mathieu Debuchy recieves a yellow card 84David Ospina recieves a yellow card 85Danny Welbeck recieves a yellow card 85Per Mertesacker recieves a yellow card 86Mathieu Debuchy is substituted off 86Chuba Akpom is substituted on 86Formation Change  41212  41212","Player Statistics","https://www.whoscored.com/Matches/1250099/LiveStatistics/England-FA-Cup-2017-2018-Nottingham-Forest-Arsenal","Nottingham Forest4 : 2ArsenalElapsed:FTHalf time:2 : 1Full time:4 : 2Kick off:16:00Date:Sun, 07-Jan-18","12Shots149Shots on target468%Pass Success %88%35%Aerial Duel Success65%11Dribbles won2023Tackles15Possession31%69%","R		Player  Shots ShotsOT KeyPasses Dribbles Fouled Offsides Disp UnsTouchesRating Key Events 1 	Jordan Smith  23,  GK     0	0	0	0	0	0	0	0	5.79   2 	Eric Lichaj  29,  DR     2	2	0	0	0	0	0	1	8.72    3 	Michael Mancienne  30,  DC     0	0	0	1	0	0	0	0	7.24  4 	Joe Worrall  21,  DC     0	0	0	0	0	0	0	0	5.79    5 	Armand Traore  28,  DL     0	0	0	3	1	0	0	3	7.58  6 	Ben Osborn  23,  DMC     0	0	1	0	0	0	0	3	6.56  7 	David Vaughan  35,  DMC     1	0	0	0	0	0	0	0	6.15  8 	Matthew Cash (86′) 20,  AMR     1	1	2	2	2	0	3	0	8.05  9 	Kieran Dowell (92′) 20,  AMC     1	1	2	1	1	0	0	0	8.01    10 	Zach Clough (55′) 23,  AML     1	0	0	0	0	0	1	3	6.18  11 	Ben Brereton  18,  FW     5	4	0	4	2	2	5	4	8.09   12 	Tyler Walker (55′) 21,  Sub     1	1	1	0	1	0	2	0	6.46  13 	Matt Mills (92′) 31,  Sub     0	0	0	0	0	0	0	0	6.05  14 	Barrie McKay (86′) 23,  Sub     0	0	0	0	0	0	0	0	6.14  15 	Apostolos Vellios  26,  Sub     0	0	0	0	0	0	0	0	-  16 	Andreas Bouchalakis  24,  Sub     0	0	0	0	0	0	0	0	-  17 	Stephen Henderson  29,  Sub     0	0	0	0	0	0	0	0	-  18 	Jason Cummings  22,  Sub     0	0	0	0	0	0	0	0	-",""
"1520640306-4004","https://www.whoscored.com/Teams/13/Fixtures/England-Arsenal","2 : 1","https://www.whoscored.com/Matches/1190236/Live/England-Premier-League-2017-2018-Arsenal-Swansea","0Formation Set  3421  3421 50Mesut Özil is caught offside 50GOAL! Sead Kolasinac scores , Assisted by Mesut Özil (Low to the right, 18-yard box, Left footed, Open play) 57GOAL! Aaron Ramsey scores , Assisted by Sead Kolasinac (Low to the left, 18-yard box, Big Chance, Left footed, Open play) 57Sead Kolasinac assists a goal (Key pass, Open play) 65Héctor Bellerín hits the woodwork (High, 6-yard box, Big Chance, Right footed, Fast break) 77Rob Holding is substituted on 77Formation Change  3421  3421 77Sead Kolasinac is substituted off 80Alexandre Lacazette is substituted off 80Olivier Giroud is substituted on","0Formation Set  352  352 21Tammy Abraham assists a goal (Through Ball, Key pass, Open play) 21GOAL! Sam Clucas scores , Assisted by Tammy Abraham (Low to the centre, 18-yard box, Big Chance, Left footed, Open play) 80Jordan Ayew is substituted off 80Luciano Narsingh is substituted on 81Mike van der Hoorn is substituted off 81Nathan Dyer is substituted on 82Formation Change  433  433 83Tom Carroll is substituted off 83Oliver McBurnie is substituted on","Player Statistics","https://www.whoscored.com/Matches/1190236/LiveStatistics/England-Premier-League-2017-2018-Arsenal-Swansea","Arsenal2 : 1SwanseaElapsed:FTHalf time:0 : 1Full time:2 : 1Kick off:15:00Date:Sat, 28-Oct-17","17Shots45Shots on target287%Pass Success %72%68%Aerial Duel Success32%3Dribbles won416Tackles14Possession73%27%","","R		Player  KeyPasses Passes PA% Crosses AccCrosses LB AccLB ThB AccThBRating Key Events 1 	Lukasz Fabianski  32,  GK     0	40	45	0	0	36	14	0	0	6.40  2 	Federico Fernández  29,  DC     0	25	80	1	0	4	1	0	0	6.34  3 	Mike van der Hoorn (81′) 25,  DC     0	19	57.9	0	0	9	4	0	0	6.79  4 	Alfie Mawson  24,  DC     0	30	73.3	0	0	6	2	0	0	6.90  5 	Kyle Naughton  29,  DMR     0	29	65.5	0	0	3	0	0	0	6.79  6 	Sam Clucas  27,  DML     0	20	70	5	0	4	2	0	0	6.99   7 	Leroy Fer  28,  MC     0	30	83.3	0	0	4	1	0	0	6.47  8 	Tom Carroll (83′) 25,  MC     0	27	81.5	0	0	3	0	0	0	6.50  9 	Ki Sung-yueng  29,  MC     0	35	97.1	0	0	1	0	0	0	6.54  10 	Jordan Ayew (80′) 26,  FW     1	17	76.5	1	0	2	1	0	0	6.36  11 	Tammy Abraham  20,  FW     1	15	66.7	0	0	1	0	1	1	6.76   12 	Luciano Narsingh (80′) 27,  Sub     0	4	75	0	0	0	0	0	0	5.94  13 	Oliver McBurnie (83′) 21,  Sub     0	3	33.3	0	0	0	0	0	0	6.16  14 	Nathan Dyer (81′) 30,  Sub     0	6	100	0	0	0	0	0	0	5.98  15 	Roque Mesa  28,  Sub     0	0	0	0	0	0	0	0	0	-  16 	Kristoffer Nordfeldt  28,  Sub     0	0	0	0	0	0	0	0	0	-  17 	Wayne Routledge  33,  Sub     0	0	0	0	0	0	0	0	0	-  18 	Joe Rodon  20,  Sub     0	0	0	0	0	0	0	0	0	-"
"1520640547-4158","https://www.whoscored.com/Teams/13/Fixtures/England-Arsenal","3 : 0","https://www.whoscored.com/Matches/1190208/Live/England-Premier-League-2017-2018-Arsenal-Bournemouth","","","Player Statistics","https://www.whoscored.com/Matches/1190208/LiveStatistics/England-Premier-League-2017-2018-Arsenal-Bournemouth","Arsenal3 : 0BournemouthElapsed:FTHalf time:2 : 0Full time:3 : 0Kick off:15:00Date:Sat, 09-Sep-17","17Shots79Shots on target280%Pass Success %72%50%Aerial Duel Success50%8Dribbles won716Tackles11Possession58%42%","",""
"1520640547-4147","https://www.whoscored.com/Teams/13/Fixtures/England-Arsenal","3 : 0","https://www.whoscored.com/Matches/1190208/Live/England-Premier-League-2017-2018-Arsenal-Bournemouth","","","Player Statistics","https://www.whoscored.com/Matches/1190208/LiveStatistics/England-Premier-League-2017-2018-Arsenal-Bournemouth","Arsenal3 : 0BournemouthElapsed:FTHalf time:2 : 0Full time:3 : 0Kick off:15:00Date:Sat, 09-Sep-17","17Shots79Shots on target280%Pass Success %72%50%Aerial Duel Success50%8Dribbles won716Tackles11Possession58%42%","",""
