web-scraper-order,web-scraper-start-url,matches,matches-href,summary_home,summary_away,gotosummary,gotosummary-href,matchsummary,teamstatistics,home_data_summary,away_data_summary
"1520642072-4668","https://www.whoscored.com/Teams/184/Fixtures/England-Burnley","0 : 1","https://www.whoscored.com/Matches/1190255/Live/England-Premier-League-2017-2018-Everton-Burnley","0Formation Set  4222  4222 48Dominic Calvert-Lewin recieves a yellow card 57Leighton Baines recieves a yellow card 62Morgan Schneiderlin is substituted off 62Wayne Rooney is substituted on 68Nikola Vlasic is substituted off 68Tom Davies is substituted on 81Oumar Niasse is substituted off 81Sandro Ramírez is substituted on 86Formation Change  4231  4231","0Formation Set  4411  4411 20Stephen Ward assists a goal (Key pass, Open play) 20GOAL! Jeff Hendrick scores , Assisted by Stephen Ward (Low to the centre, 18-yard box, Right footed, Open play) 39Steven Defour recieves a yellow card 41Scott Arfield recieves a yellow card 87Jeff Hendrick is substituted off 87Ashley Barnes is substituted on","Player Statistics","https://www.whoscored.com/Matches/1190255/LiveStatistics/England-Premier-League-2017-2018-Everton-Burnley","Everton0 : 1BurnleyElapsed:FTHalf time:0 : 1Full time:0 : 1Kick off:14:15Date:Sun, 01-Oct-17","25Shots54Shots on target279%Pass Success %60%48%Aerial Duel Success52%7Dribbles won78Tackles18Possession63%37%","","R		Player  TotalTackles Interceptions Clearances BlockedShots FoulsRating Key Events 1 	Nick Pope  25,  GK     0	0	3	0	0	7.93  2 	Matthew Lowton  28,  DR     1	4	6	2	0	7.32  3 	James Tarkowski  25,  DC     4	0	12	3	0	7.82  4 	Ben Mee  28,  DC     3	0	19	0	0	8.36  5 	Stephen Ward  32,  DL     2	2	4	0	0	7.84   6 	Robbie Brady  26,  MR     1	0	3	0	1	6.74  7 	Steven Defour  29,  MC     2	4	0	0	0	6.81   8 	Jack Cork  28,  MC     4	1	7	2	0	7.74  9 	Scott Arfield  29,  ML     1	1	1	0	1	6.59   10 	Jeff Hendrick (87′) 26,  AMC     0	0	1	0	2	7.45   11 	Chris Wood  26,  FW     0	0	3	1	2	7.36  12 	Ashley Barnes (87′) 28,  Sub     0	1	1	0	1	6.27  13 	Anders Lindegaard  33,  Sub     0	0	0	0	0	-  14 	Johann Berg Gudmundsson  27,  Sub     0	0	0	0	0	-  15 	Kevin Long  27,  Sub     0	0	0	0	0	-  16 	Ashley Westwood  27,  Sub     0	0	0	0	0	-  17 	Phil Bardsley  32,  Sub     0	0	0	0	0	-  18 	Sam Vokes  28,  Sub     0	0	0	0	0	-"
"1520641642-4352","https://www.whoscored.com/Teams/184/Fixtures/England-Burnley","1 : 1","https://www.whoscored.com/Matches/1190438/Live/England-Premier-League-2017-2018-Newcastle-United-Burnley","0Formation Set  4411  4411 29DeAndre Yedlin recieves a yellow card 33Joselu has attempt saved (Low to the right, 18-yard box, Penalty, Big Chance, Right footed)  63Christian Atsu is substituted off 63Jacob Murphy is substituted on 64Kenedy assists a goal (Off the ground, Cross, Corner, Key pass, From corner) 64GOAL! Jamaal Lascelles scores , Assisted by Kenedy (High to the centre, 6-yard box, Big Chance, Head, From corner) 71Kenedy is substituted off 71Matt Ritchie is substituted on 84Ayoze Pérez is substituted off 84Dwight Gayle is substituted on","0Formation Set  4411  4411 33Nick Pope PenaltyFaced (Diving, Saved, To the left, Penalty) 59Aaron Lennon is substituted on 59Scott Arfield is substituted off 62Ashley Barnes recieves a yellow card 69Ashley Westwood is substituted off 69Formation Change  442  442 69Sam Vokes is substituted on 72Sam Vokes recieves a yellow card 82Johann Berg Gudmundsson is substituted off 82Georges-Kévin Nkoudou is substituted on 84Karl Darlow scores an OWN GOAL!  (Low to the centre, 6-yard box, Head, From corner)","Player Statistics","https://www.whoscored.com/Matches/1190438/LiveStatistics/England-Premier-League-2017-2018-Newcastle-United-Burnley","Newcastle United1 : 1BurnleyElapsed:FTHalf time:0 : 0Full time:1 : 1Kick off:19:45Date:Wed, 31-Jan-18","14Shots114Shots on target271%Pass Success %65%56%Aerial Duel Success44%8Dribbles won517Tackles18Possession53%47%","",""
"1520642124-4698","https://www.whoscored.com/Teams/184/Fixtures/England-Burnley","1 : 1","https://www.whoscored.com/Matches/1190196/Live/England-Premier-League-2017-2018-Liverpool-Burnley","0Formation Set  433  433 29Emre Can assists a goal (Off the ground, Long Ball, Key pass, Open play) 29GOAL! Mohamed Salah scores , Assisted by Emre Can (Low to the left, 18-yard box, Left footed, Open play) 78Philippe Coutinho is substituted off 78Dominic Solanke is substituted on 78Roberto Firmino is substituted off 78Alex Oxlade-Chamberlain is substituted on 79Joel Matip blocks a shot (Last line) 85Dominic Solanke hits the woodwork (High, 6-yard box, Big Chance, Right footed, Open play) 92Emre Can recieves a yellow card","0Formation Set  4411  4411 26GOAL! Scott Arfield scores  (Low to the left, 18-yard box, Right footed, Open play) 54Nick Pope recieves a yellow card 59Johann Berg Gudmundsson is substituted off 59Ashley Barnes is substituted on 59Formation Change  4411  4411 86Sam Vokes is substituted on 86Ashley Westwood is substituted on 86Steven Defour is substituted off 86Chris Wood is substituted off 92Jack Cork recieves a yellow card","Player Statistics","https://www.whoscored.com/Matches/1190196/LiveStatistics/England-Premier-League-2017-2018-Liverpool-Burnley","Liverpool1 : 1BurnleyElapsed:FTHalf time:1 : 1Full time:1 : 1Kick off:15:00Date:Sat, 16-Sep-17","35Shots59Shots on target486%Pass Success %65%35%Aerial Duel Success65%14Dribbles won36Tackles11Possession71%29%","R		Player  KeyPasses Passes PA% Crosses AccCrosses LB AccLB ThB AccThBRating Key Events 1 	Simon Mignolet  30,  GK     0	25	80	0	0	7	2	0	0	6.36  2 	Trent Alexander-Arnold  19,  DR     7	45	77.8	10	2	7	5	0	0	7.20  3 	Joel Matip  26,  DC     0	85	90.6	0	0	6	5	0	0	7.14   4 	Ragnar Klavan  32,  DC     1	102	91.2	0	0	7	2	0	0	6.74  5 	Andrew Robertson  23,  DL     1	66	90.9	4	0	6	3	0	0	6.22  6 	Philippe Coutinho (78′) 25,  MC     5	73	82.2	3	1	6	2	1	0	7.43  7 	Emre Can  24,  MC     2	79	86.1	0	0	9	4	0	0	7.36    8 	James Milner  32,  MC     6	69	85.5	10	2	3	1	0	0	7.19  9 	Mohamed Salah  25,  FWR     3	41	80.5	5	0	1	1	0	0	8.00   10 	Daniel Sturridge  28,  FW     4	31	90.3	1	1	1	1	0	0	7.52  11 	Roberto Firmino (78′) 26,  FWL     5	43	79.1	1	0	2	1	0	0	6.62  12 	Alex Oxlade-Chamberlain (78′) 24,  Sub     0	9	88.9	0	0	0	0	0	0	6.07  13 	Dominic Solanke (78′) 20,  Sub     0	8	75	0	0	0	0	0	0	6.34   14 	Dejan Lovren  28,  Sub     0	0	0	0	0	0	0	0	0	-  15 	Loris Karius  24,  Sub     0	0	0	0	0	0	0	0	0	-  16 	Georginio Wijnaldum  27,  Sub     0	0	0	0	0	0	0	0	0	-  17 	Alberto Moreno  25,  Sub     0	0	0	0	0	0	0	0	0	-  18 	Jordan Henderson  27,  Sub     0	0	0	0	0	0	0	0	0	-",""
"1520641664-4378","https://www.whoscored.com/Teams/184/Fixtures/England-Burnley","0 : 1","https://www.whoscored.com/Matches/1190386/Live/England-Premier-League-2017-2018-Burnley-Manchester-United","0Formation Set  4411  4411 30Ben Mee recieves a yellow card 56Johann Berg Gudmundsson hits the woodwork (High, Out of box, Left footed, Free kick) 66Phil Bardsley recieves a yellow card 68Steven Defour recieves a yellow card 80Scott Arfield is substituted off 80Georges-Kévin Nkoudou is substituted on 80Sam Vokes is substituted on 80Jeff Hendrick is substituted off 85Formation Change  442  442 88Ashley Barnes is substituted off 88Nahki Wells is substituted on","0Formation Set  433  433 53Romelu Lukaku assists a goal (Long Ball, Key pass, Open play) 53GOAL! Anthony Martial scores , Assisted by Romelu Lukaku (High to the left, 18-yard box, Right footed, Open play) 68Paul Pogba recieves a yellow card 71Juan Mata is substituted off 71Formation Change  433  433 71Marouane Fellaini is substituted on 75Nemanja Matic recieves a yellow card 79Jesse Lingard is substituted off 79Marcus Rashford is substituted on 91Antonio Valencia recieves a yellow card 93Anthony Martial is substituted off 93Ander Herrera is substituted on 93Formation Change  41212  41212","Player Statistics","https://www.whoscored.com/Matches/1190386/LiveStatistics/England-Premier-League-2017-2018-Burnley-Manchester-United","Burnley0 : 1Manchester UnitedElapsed:FTHalf time:0 : 0Full time:0 : 1Kick off:15:00Date:Sat, 20-Jan-18","14Shots123Shots on target272%Pass Success %79%26%Aerial Duel Success74%9Dribbles won1324Tackles13Possession48%52%","",""
"1520641890-4532","https://www.whoscored.com/Teams/184/Fixtures/England-Burnley","1 : 0","https://www.whoscored.com/Matches/1190274/Live/England-Premier-League-2017-2018-Leicester-Burnley","0Formation Set  4411  4411 5GOAL! Demarai Gray scores  (Low to the centre, 6-yard box, Big Chance, Other body part, Open play) 71Demarai Gray hits the woodwork (To the left, 18-yard box, Right footed, Open play) 87Shinji Okazaki is substituted on 87Demarai Gray is substituted off","0Formation Set  4411  4411 30Robbie Brady is substituted off 30Scott Arfield is substituted on 55Phil Bardsley recieves a yellow card 65Steven Defour is substituted off 65Ashley Barnes is substituted on 66Formation Change  4411  4411 73Sam Vokes is substituted on 73Chris Wood is substituted off 90Ben Mee recieves a yellow card","Player Statistics","https://www.whoscored.com/Matches/1190274/LiveStatistics/England-Premier-League-2017-2018-Leicester-Burnley","Leicester1 : 0BurnleyElapsed:FTHalf time:1 : 0Full time:1 : 0Kick off:15:00Date:Sat, 02-Dec-17","16Shots143Shots on target472%Pass Success %74%54%Aerial Duel Success46%9Dribbles won37Tackles23Possession52%48%","R		Player  TotalTackles Interceptions Clearances BlockedShots FoulsRating Key Events 1 	Kasper Schmeichel  31,  GK     0	0	2	0	0	7.70  2 	Danny Simpson  31,  DR     0	1	3	1	0	6.63  3 	Wes Morgan  34,  DC     1	0	2	0	1	7.13  4 	Harry Maguire  25,  DC     1	0	7	0	0	7.38  5 	Ben Chilwell  21,  DL     1	1	0	0	0	6.96  6 	Riyad Mahrez  27,  MR     0	0	0	0	0	7.13  7 	Wilfred Ndidi  21,  MC     1	0	6	1	1	6.99  8 	Vicente Iborra  30,  MC     0	0	1	1	0	6.46  9 	Marc Albrighton  28,  ML     1	0	0	0	0	6.60  10 	Demarai Gray (87′) 21,  AMC     1	1	0	0	0	7.50    11 	Jamie Vardy  31,  FW     1	0	3	0	1	7.27  12 	Shinji Okazaki (87′) 31,  Sub     0	1	0	0	0	6.41  13 	Leonardo Ulloa  31,  Sub     0	0	0	0	0	-  14 	Christian Fuchs  31,  Sub     0	0	0	0	0	-  15 	Aleksandar Dragovic  27,  Sub     0	0	0	0	0	-  16 	Kelechi Iheanacho  21,  Sub     0	0	0	0	0	-  17 	Ben Hamer  30,  Sub     0	0	0	0	0	-  18 	Andy King  29,  Sub     0	0	0	0	0	-",""
"1520642198-4758","https://www.whoscored.com/Teams/184/Fixtures/England-Burnley","0 : 1","https://www.whoscored.com/Matches/1190185/Live/England-Premier-League-2017-2018-Burnley-West-Bromwich-Albion","0Formation Set  4411  4411 77Robbie Brady is substituted off 77Jonathan Walters is substituted on 78Johann Berg Gudmundsson is substituted off 78Ashley Barnes is substituted on 78Formation Change  433  433 91Ashley Barnes recieves a yellow card","0Formation Set  4141  4141 62James McClean is substituted off 62Hal Robson-Kanu is substituted on 63Formation Change  4141  4141 70Matt Phillips assists a goal (Headed, Key pass, Open play) 70GOAL! Hal Robson-Kanu scores , Assisted by Matt Phillips (Low to the right, 18-yard box, Right footed, Open play) 82Hal Robson-Kanu recieves a red card 85Sam Field is substituted off 85Salomón Rondón is substituted on","Player Statistics","https://www.whoscored.com/Matches/1190185/LiveStatistics/England-Premier-League-2017-2018-Burnley-West-Bromwich-Albion","Burnley0 : 1West Bromwich AlbionElapsed:FTHalf time:0 : 0Full time:0 : 1Kick off:15:00Date:Sat, 19-Aug-17","20Shots80Shots on target179%Pass Success %55%55%Aerial Duel Success45%9Dribbles won69Tackles9Possession68%32%","","R		Player  KeyPasses Passes PA% Crosses AccCrosses LB AccLB ThB AccThBRating Key Events 1 	Ben Foster  34,  GK     0	30	40	0	0	29	11	0	0	6.60  2 	Allan Nyom  29,  DR     0	28	64.3	1	0	8	1	0	0	6.56  3 	Ahmed Hegazi  27,  DC     0	11	54.6	0	0	3	0	0	0	7.55  4 	Craig Dawson  27,  DC     0	23	60.9	0	0	10	3	0	0	7.20  5 	Chris Brunt  33,  DL     0	28	42.9	5	1	11	2	0	0	6.43  6 	Gareth Barry  37,  DMC     0	23	65.2	0	0	2	1	0	0	7.47  7 	Matt Phillips  26,  MR     3	16	37.5	6	2	1	0	0	0	7.33   8 	Jake Livermore  28,  MC     1	18	72.2	0	0	3	2	0	0	6.59  9 	Sam Field (85′) 19,  MC     0	17	41.2	0	0	2	1	0	0	6.69  10 	James McClean (62′) 28,  ML     0	11	81.8	0	0	0	0	0	0	6.34  11 	Jay Rodriguez  28,  FW     1	16	62.5	1	1	3	2	0	0	6.11  12 	Salomón Rondón (85′) 28,  Sub     0	4	75	0	0	1	1	0	0	6.23  13 	Hal Robson-Kanu (62′) 28,  Sub     0	3	66.7	0	0	0	0	0	0	6.64    14 	Nacer Chadli  28,  Sub     0	0	0	0	0	0	0	0	0	-  15 	Jonathan Leko  18,  Sub     0	0	0	0	0	0	0	0	0	-  16 	Kane Wilson  17,  Sub     0	0	0	0	0	0	0	0	0	-  17 	Rekeem Harper  18,  Sub     0	0	0	0	0	0	0	0	0	-  18 	Boaz Myhill  35,  Sub     0	0	0	0	0	0	0	0	0	-"
"1520642094-4678","https://www.whoscored.com/Teams/184/Fixtures/England-Burnley","0 : 0","https://www.whoscored.com/Matches/1190216/Live/England-Premier-League-2017-2018-Burnley-Huddersfield","0Formation Set  451  451 6Jack Cork recieves a yellow card 23Scott Arfield recieves a yellow card 73Jeff Hendrick is substituted off 73Ashley Barnes is substituted on 76Scott Arfield is substituted off 76Johann Berg Gudmundsson is substituted on 89James Tarkowski recieves a yellow card","0Formation Set  4231  4231 5Abdelhamid Sabiri recieves a yellow card 62Abdelhamid Sabiri is substituted off 62Rajiv van La Parra is substituted on 62Formation Change  4231  4231 70Rajiv van La Parra recieves a yellow card 79Jonathan Hogg is substituted off 79Philip Billing is substituted on 88Elias Kachunga is substituted off 88Florent Hadergjonaj is substituted on","Player Statistics","https://www.whoscored.com/Matches/1190216/LiveStatistics/England-Premier-League-2017-2018-Burnley-Huddersfield","Burnley0 : 0HuddersfieldElapsed:FTHalf time:0 : 0Full time:0 : 0Kick off:15:00Date:Sat, 23-Sep-17","4Shots92Shots on target272%Pass Success %76%54%Aerial Duel Success46%7Dribbles won615Tackles25Possession52%48%","R		Player  KeyPasses Passes PA% Crosses AccCrosses LB AccLB ThB AccThBRating Key Events 1 	Nick Pope  25,  GK     0	30	46.7	0	0	25	9	0	0	7.15  2 	Matthew Lowton  28,  DR     0	36	63.9	0	0	7	4	0	0	7.10  3 	James Tarkowski  25,  DC     0	49	77.6	0	0	15	7	0	0	7.00   4 	Ben Mee  28,  DC     0	61	78.7	0	0	12	7	0	0	7.03  5 	Stephen Ward  32,  DL     1	44	77.3	4	1	12	7	0	0	7.47  6 	Robbie Brady  26,  MR     0	37	59.5	5	1	4	2	1	1	7.24  7 	Steven Defour  29,  MC     0	56	83.9	1	0	5	4	0	0	7.06  8 	Jeff Hendrick (73′) 26,  MC     1	27	96.3	1	0	2	1	0	0	6.34  9 	Jack Cork  28,  MC     0	56	82.1	1	0	4	2	0	0	6.96   10 	Scott Arfield (76′) 29,  ML     0	25	72	0	0	1	0	0	0	6.12   11 	Chris Wood  26,  FW     0	27	48.2	0	0	1	0	0	0	6.56  12 	Johann Berg Gudmundsson (76′) 27,  Sub     0	4	75	0	0	0	0	0	0	5.99  13 	Ashley Barnes (73′) 28,  Sub     0	4	25	0	0	1	0	0	0	5.90  14 	Kevin Long  27,  Sub     0	0	0	0	0	0	0	0	0	-  15 	Adam Legzdins  31,  Sub     0	0	0	0	0	0	0	0	0	-  16 	Ashley Westwood  27,  Sub     0	0	0	0	0	0	0	0	0	-  17 	Phil Bardsley  32,  Sub     0	0	0	0	0	0	0	0	0	-  18 	Sam Vokes  28,  Sub     0	0	0	0	0	0	0	0	0	-",""
"1520641980-4605","https://www.whoscored.com/Teams/184/Fixtures/England-Burnley","0 : 1","https://www.whoscored.com/Matches/1190300/Live/England-Premier-League-2017-2018-Southampton-Burnley","0Formation Set  4231  4231 64Manolo Gabbiadini is substituted off 64Charlie Austin is substituted on 75Dusan Tadic is substituted off 75Shane Long is substituted on 87Formation Change  442  442 89Sofiane Boufal is substituted off 89James Ward-Prowse is substituted on 90Formation Change  442  442","0Formation Set  4411  4411 64Jeff Hendrick is substituted off 64Ashley Barnes is substituted on 64Chris Wood is substituted off 64Sam Vokes is substituted on 80Johann Berg Gudmundsson assists a goal (Off the ground, Cross, Long Ball, Key pass, Open play) 80GOAL! Sam Vokes scores , Assisted by Johann Berg Gudmundsson (Low to the right, 18-yard box, Head, Open play)","Player Statistics","https://www.whoscored.com/Matches/1190300/LiveStatistics/England-Premier-League-2017-2018-Southampton-Burnley","Southampton0 : 1BurnleyElapsed:FTHalf time:0 : 0Full time:0 : 1Kick off:15:00Date:Sat, 04-Nov-17","13Shots53Shots on target181%Pass Success %69%41%Aerial Duel Success59%11Dribbles won715Tackles11Possession63%37%","","R		Player  Shots ShotsOT KeyPasses Dribbles Fouled Offsides Disp UnsTouchesRating Key Events 1 	Nick Pope  25,  GK     0	0	0	0	0	0	0	0	7.73  2 	Matthew Lowton  28,  DR     0	0	0	1	0	0	0	0	7.19  3 	Ben Mee  28,  DC     0	0	0	0	1	0	0	0	7.40  4 	James Tarkowski  25,  DC     0	0	0	1	1	0	0	1	7.86  5 	Stephen Ward  32,  DL     0	0	0	0	0	0	1	0	6.56  6 	Johann Berg Gudmundsson  27,  MR     3	0	1	1	0	0	3	0	7.11   7 	Steven Defour  29,  MC     0	0	1	2	0	0	1	1	7.27  8 	Jack Cork  28,  MC     0	0	1	0	1	0	1	4	6.93  9 	Robbie Brady  26,  ML     1	0	0	1	0	0	0	0	6.93  10 	Jeff Hendrick (64′) 26,  AMC     0	0	1	0	1	0	1	1	6.23  11 	Chris Wood (64′) 26,  FW     0	0	0	0	0	0	2	3	6.14  12 	Ashley Barnes (64′) 28,  Sub     0	0	0	0	0	1	2	1	6.15  13 	Sam Vokes (64′) 28,  Sub     1	1	0	1	0	0	1	0	7.46   14 	Scott Arfield  29,  Sub     0	0	0	0	0	0	0	0	-  15 	Anders Lindegaard  33,  Sub     0	0	0	0	0	0	0	0	-  16 	Kevin Long  27,  Sub     0	0	0	0	0	0	0	0	-  17 	Ashley Westwood  27,  Sub     0	0	0	0	0	0	0	0	-  18 	Phil Bardsley  32,  Sub     0	0	0	0	0	0	0	0	-"
"1520642026-4625","https://www.whoscored.com/Teams/184/Fixtures/England-Burnley","3 : 0","https://www.whoscored.com/Matches/1190228/Live/England-Premier-League-2017-2018-Manchester-City-Burnley","0Formation Set  433  433 28Leroy Sané recieves a yellow card 29GOAL! Sergio Agüero scores  (Low to the right, 18-yard box, Big Chance, Penalty, Right footed) 43Fernandinho recieves a yellow card 72GOAL! Nicolás Otamendi scores , Assisted by Leroy Sané (Low to the right, 18-yard box, Head, From corner) 72Leroy Sané assists a goal (Off the ground, Long Ball, Cross, Corner, Key pass, From corner) 74Kevin De Bruyne assists a goal (Key pass, Open play) 74GOAL! Leroy Sané scores , Assisted by Kevin De Bruyne (Low to the right, 18-yard box, Big Chance, Left footed, Open play) 75Sergio Agüero is substituted off 75Gabriel Jesus is substituted on 77Yaya Touré is substituted on 77Fernandinho is substituted off 79Kevin De Bruyne is substituted off 79Ilkay Gündogan is substituted on","0Formation Set  4411  4411 19Chris Wood is substituted off 19Ashley Barnes is substituted on 28James Tarkowski recieves a yellow card 51Jack Cork recieves a yellow card 56Ashley Barnes recieves a yellow card 70Jeff Hendrick is substituted off 70Johann Berg Gudmundsson is substituted on 83Ashley Westwood is substituted on 83Steven Defour is substituted off","Player Statistics","https://www.whoscored.com/Matches/1190228/LiveStatistics/England-Premier-League-2017-2018-Manchester-City-Burnley","Manchester City3 : 0BurnleyElapsed:FTHalf time:1 : 0Full time:3 : 0Kick off:15:00Date:Sat, 21-Oct-17","15Shots610Shots on target090%Pass Success %65%68%Aerial Duel Success32%17Dribbles won69Tackles14Possession77%23%","",""
"1520641845-4495","https://www.whoscored.com/Teams/184/Fixtures/England-Burnley","1 : 0","https://www.whoscored.com/Matches/1190519/Live/England-Premier-League-2017-2018-Burnley-Stoke","0Formation Set  4411  4411 40Stephen Ward is substituted off 40Charlie Taylor is substituted on 70Jeff Hendrick is substituted off 70Ashley Barnes is substituted on 81Chris Wood is substituted off 81Sam Vokes is substituted on 88Scott Arfield assists a goal (Key pass, Open play) 88GOAL! Ashley Barnes scores , Assisted by Scott Arfield (Low to the right, 18-yard box, Right footed, Open play)","0Formation Set  442  442 3Peter Crouch hits the woodwork (To the right, 6-yard box, Big Chance, Right footed, Open play) 65Kurt Zouma is substituted off 65Kevin Wimmer is substituted on 83Eric Maxim Choupo-Moting is substituted on 83Xherdan Shaqiri is substituted off 83Formation Change  442  442","Player Statistics","https://www.whoscored.com/Matches/1190519/LiveStatistics/England-Premier-League-2017-2018-Burnley-Stoke","Burnley1 : 0StokeElapsed:FTHalf time:0 : 0Full time:1 : 0Kick off:19:45Date:Tue, 12-Dec-17","10Shots142Shots on target764%Pass Success %62%41%Aerial Duel Success59%2Dribbles won614Tackles17Possession51%49%","",""
"1520641890-4538","https://www.whoscored.com/Teams/184/Fixtures/England-Burnley","1 : 0","https://www.whoscored.com/Matches/1190274/Live/England-Premier-League-2017-2018-Leicester-Burnley","0Formation Set  4411  4411 5GOAL! Demarai Gray scores  (Low to the centre, 6-yard box, Big Chance, Other body part, Open play) 71Demarai Gray hits the woodwork (To the left, 18-yard box, Right footed, Open play) 87Shinji Okazaki is substituted on 87Demarai Gray is substituted off","0Formation Set  4411  4411 30Robbie Brady is substituted off 30Scott Arfield is substituted on 55Phil Bardsley recieves a yellow card 65Steven Defour is substituted off 65Ashley Barnes is substituted on 66Formation Change  4411  4411 73Sam Vokes is substituted on 73Chris Wood is substituted off 90Ben Mee recieves a yellow card","Player Statistics","https://www.whoscored.com/Matches/1190274/LiveStatistics/England-Premier-League-2017-2018-Leicester-Burnley","Leicester1 : 0BurnleyElapsed:FTHalf time:1 : 0Full time:1 : 0Kick off:15:00Date:Sat, 02-Dec-17","16Shots143Shots on target472%Pass Success %74%54%Aerial Duel Success46%9Dribbles won37Tackles23Possession52%48%","",""
"1520641980-4601","https://www.whoscored.com/Teams/184/Fixtures/England-Burnley","0 : 1","https://www.whoscored.com/Matches/1190300/Live/England-Premier-League-2017-2018-Southampton-Burnley","0Formation Set  4231  4231 64Manolo Gabbiadini is substituted off 64Charlie Austin is substituted on 75Dusan Tadic is substituted off 75Shane Long is substituted on 87Formation Change  442  442 89Sofiane Boufal is substituted off 89James Ward-Prowse is substituted on 90Formation Change  442  442","0Formation Set  4411  4411 64Jeff Hendrick is substituted off 64Ashley Barnes is substituted on 64Chris Wood is substituted off 64Sam Vokes is substituted on 80Johann Berg Gudmundsson assists a goal (Off the ground, Cross, Long Ball, Key pass, Open play) 80GOAL! Sam Vokes scores , Assisted by Johann Berg Gudmundsson (Low to the right, 18-yard box, Head, Open play)","Player Statistics","https://www.whoscored.com/Matches/1190300/LiveStatistics/England-Premier-League-2017-2018-Southampton-Burnley","Southampton0 : 1BurnleyElapsed:FTHalf time:0 : 0Full time:0 : 1Kick off:15:00Date:Sat, 04-Nov-17","13Shots53Shots on target181%Pass Success %69%41%Aerial Duel Success59%11Dribbles won715Tackles11Possession63%37%","",""
"1520642242-4783","https://www.whoscored.com/Teams/184/Fixtures/England-Burnley","1 : 2","https://www.whoscored.com/Matches/1185809/Live/International-Club-Friendlies-2017-Preston-Burnley","null","null","Player Statistics","https://www.whoscored.com/Matches/1185809/Live/International-Club-Friendlies-2017-Preston-Burnley#","Preston1 : 2BurnleyElapsed:FTHalf time:0 : 1Full time:1 : 2Kick off:19:45Date:Tue, 25-Jul-17","null","",""
"1520641732-4415","https://www.whoscored.com/Teams/184/Fixtures/England-Burnley","1 : 2","https://www.whoscored.com/Matches/1190428/Live/England-Premier-League-2017-2018-Burnley-Liverpool","0Formation Set  4411  4411 35Ben Mee tackles and wins possession (Last line) 70Jeff Hendrick is substituted off 70Sam Vokes is substituted on 71Formation Change  442  442 85Scott Arfield is substituted off 85Nahki Wells is substituted on 85Formation Change  442  442 86Sam Vokes misses attempt (To the right, 18-yard box, Key pass, Head, Open play) 86GOAL! Johann Berg Gudmundsson scores , Assisted by Sam Vokes (Low to the right, 6-yard box, Big Chance, Head, Open play)","0Formation Set  4231  4231 18Adam Lallana tackles and wins possession (Last line) 60GOAL! Sadio Mané scores  (High to the left, 18-yard box, Left footed, Open play) 71Sadio Mané is substituted off 71Roberto Firmino is substituted on 79Formation Change  4231  4231 85Adam Lallana is substituted off 85James Milner is substituted on 85Formation Change  433  433 93Dejan Lovren has shot blocked (18-yard box, Key pass, Head, Set piece) 93GOAL! Ragnar Klavan scores , Assisted by Dejan Lovren (Low to the left, 6-yard box, Big Chance, Head, Set piece) 93Formation Change  4231  4231 95Alex Oxlade-Chamberlain is substituted off 95Joel Matip is substituted on","Player Statistics","https://www.whoscored.com/Matches/1190428/LiveStatistics/England-Premier-League-2017-2018-Burnley-Liverpool","Burnley1 : 2LiverpoolElapsed:FTHalf time:0 : 0Full time:1 : 2Kick off:15:00Date:Mon, 01-Jan-18","13Shots194Shots on target570%Pass Success %80%57%Aerial Duel Success43%6Dribbles won713Tackles14Possession42%58%","",""
