web-scraper-order,web-scraper-start-url,matches,matches-href,summary_home,summary_away,gotosummary,gotosummary-href,matchsummary,teamstatistics,home_data_summary,away_data_summary
"1520683974-1301","https://www.whoscored.com/Teams/259/Fixtures/Wales-Swansea","1 : 1","https://www.whoscored.com/Matches/1190359/Live/England-Premier-League-2017-2018-Leicester-Swansea","0Formation Set  442  442 2Fousseni Diabaté recieves a yellow card 16GOAL! Jamie Vardy scores , Assisted by Kelechi Iheanacho (Low to the right, 18-yard box, Big Chance, Right footed, Open play) 16Kelechi Iheanacho assists a goal (Through Ball, Key pass, Open play) 67Adrien Silva is substituted off 67Matty James is substituted on 67Kelechi Iheanacho is substituted off 67Demarai Gray is substituted on 72Formation Change  442  442 79Danny Simpson is substituted off 79Shinji Okazaki is substituted on 79Formation Change  442  442","0Formation Set  541  541 28Alfie Mawson blocks a shot (Last line) 35Leroy Fer is substituted off 35Tom Carroll is substituted on 52Ki Sung-yueng assists a goal (Long Ball, Off the ground, Cross, Corner, Key pass, From corner) 52GOAL! Federico Fernández scores , Assisted by Ki Sung-yueng (Low to the right, 6-yard box, Big Chance, Head, From corner) 70Nathan Dyer is substituted off 70Wilfried Bony is substituted on 90Jordan Ayew is substituted off 90Wayne Routledge is substituted on","Player Statistics","https://www.whoscored.com/Matches/1190359/LiveStatistics/England-Premier-League-2017-2018-Leicester-Swansea","Leicester1 : 1SwanseaElapsed:FTHalf time:1 : 0Full time:1 : 1Kick off:15:00Date:Sat, 03-Feb-18","13Shots35Shots on target182%Pass Success %72%50%Aerial Duel Success50%7Dribbles won1116Tackles14Possession60%40%","",""
"1520684694-1771","https://www.whoscored.com/Teams/259/Fixtures/Wales-Swansea","0 : 0","https://www.whoscored.com/Matches/1184664/Live/International-Club-Friendlies-2017-North-Carolina-FC-Swansea","null","null","Player Statistics","https://www.whoscored.com/Matches/1184664/Live/International-Club-Friendlies-2017-North-Carolina-FC-Swansea#","North Carolina FC0 : 0SwanseaElapsed:FTHalf time:0 : 0Full time:0 : 0Kick off:00:40Date:Sun, 23-Jul-17","null","",""
"1520683901-1261","https://www.whoscored.com/Teams/259/Fixtures/Wales-Swansea","0 : 0","https://www.whoscored.com/Matches/1268758/Live/England-FA-Cup-2017-2018-Sheffield-Wednesday-Swansea","0Formation Set  352  352 69Jacob Butterfield is substituted off 69Joey Pelupessy is substituted on 77Ross Wallace recieves a yellow card 79Ross Wallace is substituted off 79Lucas João is substituted on 82Adam Reach recieves a yellow card","0Formation Set  343  343 63Luciano Narsingh is substituted off 63Nathan Dyer is substituted on 64Mike van der Hoorn recieves a yellow card 66Tammy Abraham is substituted off 66Jordan Ayew is substituted on 78Martin Olsson is substituted off 78Sam Clucas is substituted on","Player Statistics","https://www.whoscored.com/Matches/1268758/LiveStatistics/England-FA-Cup-2017-2018-Sheffield-Wednesday-Swansea","Sheffield Wednesday0 : 0SwanseaElapsed:FTHalf time:0 : 0Full time:0 : 0Kick off:12:30Date:Sat, 17-Feb-18","11Shots114Shots on target478%Pass Success %85%41%Aerial Duel Success59%5Dribbles won530Tackles17Possession43%57%","",""
"1520684461-1613","https://www.whoscored.com/Teams/259/Fixtures/Wales-Swansea","1 : 2","https://www.whoscored.com/Matches/1190233/Live/England-Premier-League-2017-2018-Swansea-Leicester","0Formation Set  433  433 45Leon Britton is substituted off 45Ki Sung-yueng is substituted on 45Formation Change  433  433 55Jordan Ayew assists a goal (Key pass, From corner) 55GOAL! Alfie Mawson scores , Assisted by Jordan Ayew (Low to the right, 18-yard box, Right footed, From corner) 55Luciano Narsingh is substituted off 55Nathan Dyer is substituted on 77Renato Sanches is substituted off 77Wayne Routledge is substituted on","0Formation Set  4411  4411 14Christian Fuchs recieves a yellow card 24Federico Fernández scores an OWN GOAL!  (High to the right, 6-yard box, Head, Open play) 48Riyad Mahrez assists a goal (Key pass, Fast break) 48GOAL! Shinji Okazaki scores , Assisted by Riyad Mahrez (Low to the centre, 6-yard box, Big Chance, Right footed, Fast break) 67Shinji Okazaki is substituted off 67Andy King is substituted on 72Formation Change  4141  4141 86Riyad Mahrez is substituted off 86Demarai Gray is substituted on 87Formation Change  4141  4141","Player Statistics","https://www.whoscored.com/Matches/1190233/LiveStatistics/England-Premier-League-2017-2018-Swansea-Leicester","Swansea1 : 2LeicesterElapsed:FTHalf time:0 : 1Full time:1 : 2Kick off:15:00Date:Sat, 21-Oct-17","19Shots114Shots on target682%Pass Success %71%47%Aerial Duel Success53%5Dribbles won1317Tackles23Possession56%44%","",""
"1520684112-1389","https://www.whoscored.com/Teams/259/Fixtures/Wales-Swansea","0 : 2","https://www.whoscored.com/Matches/1190450/Live/England-Premier-League-2017-2018-Swansea-Tottenham","0Formation Set  532  532 9Martin Olsson recieves a yellow card 51Formation Change  532  532 52Angel Rangel is substituted off 52Formation Change  4141  4141 52Luciano Narsingh is substituted on 69Oliver McBurnie is substituted on 69Nathan Dyer is substituted off 70Formation Change  4141  4141 77Tom Carroll is substituted off 77Wayne Routledge is substituted on 77Formation Change  442  442 78Mike van der Hoorn recieves a yellow card","0Formation Set  4231  4231 11Christian Eriksen assists a goal (Off the ground, Free-kick, Cross, Key pass, Set piece) 11GOAL! Fernando Llorente scores , Assisted by Christian Eriksen (Low to the left, 6-yard box, Big Chance, Head, Set piece) 30Davinson Sánchez recieves a yellow card 58Victor Wanyama is substituted on 58Davinson Sánchez is substituted off 59Formation Change  4231  4231 63Erik Lamela recieves a yellow card 67Fernando Llorente is substituted off 67Harry Kane is substituted on 76Erik Lamela is substituted off 76Moussa Sissoko is substituted on 76Formation Change  4231  4231 88GOAL! Dele Alli scores  (High to the centre, 18-yard box, Big Chance, Right footed, Fast break)","Player Statistics","https://www.whoscored.com/Matches/1190450/LiveStatistics/England-Premier-League-2017-2018-Swansea-Tottenham","Swansea0 : 2TottenhamElapsed:FTHalf time:0 : 1Full time:0 : 2Kick off:19:45Date:Tue, 02-Jan-18","8Shots121Shots on target573%Pass Success %88%39%Aerial Duel Success61%11Dribbles won618Tackles21Possession32%68%","",""
"1520684509-1658","https://www.whoscored.com/Teams/259/Fixtures/Wales-Swansea","1 : 0","https://www.whoscored.com/Matches/1190265/Live/England-Premier-League-2017-2018-West-Ham-Swansea","0Formation Set  442  442 54Cheikhou Kouyaté recieves a yellow card 54Andy Carroll recieves a yellow card 61Manuel Lanzini is substituted on 61Mark Noble is substituted off 61Formation Change  442  442 77Chicharito is substituted off 77André Ayew is substituted off 77Diafra Sakho is substituted on 77Arthur Masuaku is substituted on 85Andy Carroll hits the woodwork (High, 18-yard box, Left footed, Open play) 89Arthur Masuaku assists a goal (Cross, Key pass, Open play) 89GOAL! Diafra Sakho scores , Assisted by Arthur Masuaku (High to the centre, 6-yard box, Big Chance, Right footed, Open play) 90Diafra Sakho recieves a yellow card","0Formation Set  4312  4312 29Renato Sanches recieves a yellow card 45Wilfried Bony is substituted off 45Leroy Fer is substituted on 48Leon Britton recieves a yellow card 68Leon Britton is substituted off 68Roque Mesa is substituted on 68Formation Change  4312  4312 86Martin Olsson is substituted off 86Sam Clucas is substituted on","Player Statistics","https://www.whoscored.com/Matches/1190265/LiveStatistics/England-Premier-League-2017-2018-West-Ham-Swansea","West Ham1 : 0SwanseaElapsed:FTHalf time:0 : 0Full time:1 : 0Kick off:15:00Date:Sat, 30-Sep-17","9Shots64Shots on target176%Pass Success %82%56%Aerial Duel Success44%6Dribbles won622Tackles14Possession43%57%","","R		Player  KeyPasses Passes PA% Crosses AccCrosses LB AccLB ThB AccThBRating Key Events 1 	Lukasz Fabianski  32,  GK     0	15	33.3	0	0	12	2	0	0	6.99  2 	Kyle Naughton  29,  DR     0	62	75.8	3	0	8	1	0	0	7.39  3 	Federico Fernández  29,  DC     0	64	82.8	0	0	14	7	0	0	6.38  4 	Alfie Mawson  24,  DC     0	49	87.8	0	0	5	1	0	0	7.00  5 	Martin Olsson (86′) 29,  DL     0	45	75.6	7	0	5	2	0	0	6.38  6 	Renato Sanches  20,  MC     2	68	88.2	5	0	4	3	0	0	6.58   7 	Leon Britton (68′) 35,  MC     0	33	97	0	0	0	0	0	0	6.49   8 	Tom Carroll  25,  MC     1	60	83.3	6	1	4	3	0	0	6.10  9 	Jordan Ayew  26,  AMC     0	32	100	0	0	1	1	0	0	6.41  10 	Tammy Abraham  20,  FW     0	13	69.2	0	0	0	0	0	0	6.15  11 	Wilfried Bony (45′) 29,  FW     0	11	54.6	0	0	0	0	0	0	6.21  12 	Leroy Fer (45′) 28,  Sub     1	26	84.6	0	0	1	0	0	0	6.36  13 	Roque Mesa (68′) 28,  Sub     0	22	81.8	0	0	8	6	0	0	6.04  14 	Sam Clucas (86′) 27,  Sub     0	1	100	0	0	0	0	0	0	5.90  15 	Mike van der Hoorn  25,  Sub     0	0	0	0	0	0	0	0	0	-  16 	Luciano Narsingh  27,  Sub     0	0	0	0	0	0	0	0	0	-  17 	Angel Rangel  35,  Sub     0	0	0	0	0	0	0	0	0	-  18 	Kristoffer Nordfeldt  28,  Sub     0	0	0	0	0	0	0	0	0	-"
"1520684436-1603","https://www.whoscored.com/Teams/259/Fixtures/Wales-Swansea","0 : 2","https://www.whoscored.com/Matches/1243311/Live/England-League-Cup-2017-2018-Swansea-Manchester-United","0Formation Set  4231  4231 37Angel Rangel recieves a yellow card 38Kyle Naughton is substituted on 38Martin Olsson is substituted off 45Formation Change  4141  4141 55Sam Clucas recieves a yellow card 66Roque Mesa is substituted off 66Leroy Fer is substituted on 67Formation Change  4141  4141 69Ki Sung-yueng recieves a yellow card 71Oliver McBurnie is substituted off 71Tammy Abraham is substituted on","0Formation Set  3412  3412 20Marcus Rashford assists a goal (Key pass, Open play) 20GOAL! Jesse Lingard scores , Assisted by Marcus Rashford (Low to the right, 18-yard box, Big Chance, Right footed, Open play) 58GOAL! Jesse Lingard scores , Assisted by Matteo Darmian (Low to the left, 18-yard box, Head, Open play) 58Matteo Darmian assists a goal (Cross, Off the ground, Key pass, Open play) 66Romelu Lukaku is substituted on 66Ander Herrera is substituted off 66Nemanja Matic is substituted on 66Marcus Rashford is substituted off 66Formation Change  3412  3412 74Axel Tuanzebe recieves a yellow card 78Daley Blind recieves a yellow card 86Anthony Martial is substituted off 86Luke Shaw is substituted on","Player Statistics","https://www.whoscored.com/Matches/1243311/LiveStatistics/England-League-Cup-2017-2018-Swansea-Manchester-United","Swansea0 : 2Manchester UnitedElapsed:FTHalf time:0 : 1Full time:0 : 2Kick off:19:45Date:Tue, 24-Oct-17","10Shots133Shots on target582%Pass Success %87%45%Aerial Duel Success55%2Dribbles won1014Tackles13Possession43%57%","",""
"1520684263-1493","https://www.whoscored.com/Teams/259/Fixtures/Wales-Swansea","1 : 0","https://www.whoscored.com/Matches/1190317/Live/England-Premier-League-2017-2018-Swansea-West-Bromwich-Albion","0Formation Set  433  433 50Tom Carroll recieves a yellow card 55Wayne Routledge is substituted off 55Jordan Ayew is substituted on 64Nathan Dyer is substituted off 64Luciano Narsingh is substituted on 75Tom Carroll is substituted off 75Tammy Abraham is substituted on 80GOAL! Wilfried Bony scores  (High to the right, 18-yard box, Right footed, From corner) 85Roque Mesa recieves a yellow card","0Formation Set  442  442 15Claudio Yacob recieves a yellow card 34Sam Field recieves a yellow card 45Sam Field is substituted off 45James McClean is substituted on 77Hal Robson-Kanu recieves a yellow card 77Hal Robson-Kanu is substituted off 77Oliver Burke is substituted on 81Jay Rodriguez is substituted off 81Chris Brunt is substituted on 83Jonny Evans recieves a yellow card 87Chris Brunt recieves a yellow card","Player Statistics","https://www.whoscored.com/Matches/1190317/LiveStatistics/England-Premier-League-2017-2018-Swansea-West-Bromwich-Albion","Swansea1 : 0West Bromwich AlbionElapsed:FTHalf time:0 : 0Full time:1 : 0Kick off:15:00Date:Sat, 09-Dec-17","18Shots73Shots on target179%Pass Success %74%43%Aerial Duel Success57%13Dribbles won620Tackles15Possession54%46%","",""
"1520684616-1713","https://www.whoscored.com/Teams/259/Fixtures/Wales-Swansea","0 : 2","https://www.whoscored.com/Matches/1190221/Live/England-Premier-League-2017-2018-Crystal-Palace-Swansea","0Formation Set  352  352 9Christian Benteke recieves a yellow card 40Martin Kelly is substituted on 40James Tomkins is substituted off 45Lee Chung-yong is substituted on 45Patrick van Aanholt is substituted off 47Martin Kelly commits an error (Leading to goal) 54Formation Change  433  433 57Luka Milivojevic is substituted off 57Formation Change  433  433 57Yohan Cabaye is substituted on 76Joel Ward recieves a yellow card 78Yohan Cabaye recieves a yellow card 92Jason Puncheon recieves a yellow card","0Formation Set  352  352 43Leroy Fer assists a goal (Cross, Off the ground, Key pass, Open play) 43GOAL! Tammy Abraham scores , Assisted by Leroy Fer (Low to the left, 18-yard box, Right footed, Open play) 47GOAL! Jordan Ayew scores , Assisted by Kyle Naughton (Low to the right, Out of box, Left footed, Open play) 47Kyle Naughton assists a goal (Key pass, Open play) 65Mike van der Hoorn tackles and wins possession (Last line) 69Wayne Routledge is substituted on 69Formation Change  451  451 69Mike van der Hoorn is substituted off 77Oliver McBurnie is substituted on 77Tammy Abraham is substituted off 79Leroy Fer recieves a yellow card 87Kyle Naughton is substituted off 87Angel Rangel is substituted on","Player Statistics","https://www.whoscored.com/Matches/1190221/LiveStatistics/England-Premier-League-2017-2018-Crystal-Palace-Swansea","Crystal Palace0 : 2SwanseaElapsed:FTHalf time:0 : 1Full time:0 : 2Kick off:15:00Date:Sat, 26-Aug-17","16Shots73Shots on target383%Pass Success %79%54%Aerial Duel Success46%7Dribbles won416Tackles20Possession53%47%","",""
"1520683974-1305","https://www.whoscored.com/Teams/259/Fixtures/Wales-Swansea","1 : 1","https://www.whoscored.com/Matches/1190359/Live/England-Premier-League-2017-2018-Leicester-Swansea","0Formation Set  442  442 2Fousseni Diabaté recieves a yellow card 16GOAL! Jamie Vardy scores , Assisted by Kelechi Iheanacho (Low to the right, 18-yard box, Big Chance, Right footed, Open play) 16Kelechi Iheanacho assists a goal (Through Ball, Key pass, Open play) 67Adrien Silva is substituted off 67Matty James is substituted on 67Kelechi Iheanacho is substituted off 67Demarai Gray is substituted on 72Formation Change  442  442 79Danny Simpson is substituted off 79Shinji Okazaki is substituted on 79Formation Change  442  442","0Formation Set  541  541 28Alfie Mawson blocks a shot (Last line) 35Leroy Fer is substituted off 35Tom Carroll is substituted on 52Ki Sung-yueng assists a goal (Long Ball, Off the ground, Cross, Corner, Key pass, From corner) 52GOAL! Federico Fernández scores , Assisted by Ki Sung-yueng (Low to the right, 6-yard box, Big Chance, Head, From corner) 70Nathan Dyer is substituted off 70Wilfried Bony is substituted on 90Jordan Ayew is substituted off 90Wayne Routledge is substituted on","Player Statistics","https://www.whoscored.com/Matches/1190359/LiveStatistics/England-Premier-League-2017-2018-Leicester-Swansea","Leicester1 : 1SwanseaElapsed:FTHalf time:1 : 0Full time:1 : 1Kick off:15:00Date:Sat, 03-Feb-18","13Shots35Shots on target182%Pass Success %72%50%Aerial Duel Success50%7Dribbles won1116Tackles14Possession60%40%","R		Player  Shots ShotsOT KeyPasses Dribbles Fouled Offsides Disp UnsTouchesRating Key Events 1 	Kasper Schmeichel  31,  GK     0	0	0	0	0	0	0	0	5.84  2 	Danny Simpson (79′) 31,  DR     0	0	0	0	0	0	0	0	6.51  3 	Aleksandar Dragovic  27,  DC     0	0	0	0	0	0	0	0	6.57  4 	Harry Maguire  25,  DC     2	0	1	1	0	0	1	0	7.04  5 	Christian Fuchs  31,  DL     0	0	1	0	0	0	0	0	7.33  6 	Fousseni Diabaté  22,  MR     2	1	0	2	1	1	3	1	6.62   7 	Wilfred Ndidi  21,  MC     1	0	0	0	2	0	1	3	7.04  8 	Adrien Silva (67′) 28,  MC     0	0	0	1	1	0	1	1	6.45  9 	Marc Albrighton  28,  ML     2	1	2	2	1	0	0	1	6.89  10 	Kelechi Iheanacho (67′) 21,  FW     2	2	2	0	0	0	1	2	7.04   11 	Jamie Vardy  31,  FW     2	1	1	0	1	4	0	5	6.93   12 	Shinji Okazaki (79′) 31,  Sub     0	0	0	0	0	0	1	0	5.98  13 	Demarai Gray (67′) 21,  Sub     2	0	0	1	2	0	0	0	6.25  14 	Matty James (67′) 26,  Sub     0	0	0	0	0	0	0	0	6.14  15 	Yohan Benalouane  30,  Sub     0	0	0	0	0	0	0	0	-  16 	Vicente Iborra  30,  Sub     0	0	0	0	0	0	0	0	-  17 	Ben Hamer  30,  Sub     0	0	0	0	0	0	0	0	-  18 	Ben Chilwell  21,  Sub     0	0	0	0	0	0	0	0	-",""
"1520684412-1584","https://www.whoscored.com/Teams/259/Fixtures/Wales-Swansea","2 : 1","https://www.whoscored.com/Matches/1190236/Live/England-Premier-League-2017-2018-Arsenal-Swansea","0Formation Set  3421  3421 50Mesut Özil is caught offside 50GOAL! Sead Kolasinac scores , Assisted by Mesut Özil (Low to the right, 18-yard box, Left footed, Open play) 57GOAL! Aaron Ramsey scores , Assisted by Sead Kolasinac (Low to the left, 18-yard box, Big Chance, Left footed, Open play) 57Sead Kolasinac assists a goal (Key pass, Open play) 65Héctor Bellerín hits the woodwork (High, 6-yard box, Big Chance, Right footed, Fast break) 77Rob Holding is substituted on 77Formation Change  3421  3421 77Sead Kolasinac is substituted off 80Alexandre Lacazette is substituted off 80Olivier Giroud is substituted on","0Formation Set  352  352 21Tammy Abraham assists a goal (Through Ball, Key pass, Open play) 21GOAL! Sam Clucas scores , Assisted by Tammy Abraham (Low to the centre, 18-yard box, Big Chance, Left footed, Open play) 80Jordan Ayew is substituted off 80Luciano Narsingh is substituted on 81Mike van der Hoorn is substituted off 81Nathan Dyer is substituted on 82Formation Change  433  433 83Tom Carroll is substituted off 83Oliver McBurnie is substituted on","Player Statistics","https://www.whoscored.com/Matches/1190236/LiveStatistics/England-Premier-League-2017-2018-Arsenal-Swansea","Arsenal2 : 1SwanseaElapsed:FTHalf time:0 : 1Full time:2 : 1Kick off:15:00Date:Sat, 28-Oct-17","17Shots45Shots on target287%Pass Success %72%68%Aerial Duel Success32%3Dribbles won416Tackles14Possession73%27%","R		Player  TotalTackles Interceptions Clearances BlockedShots FoulsRating Key Events 1 	Petr Cech  35,  GK     0	0	0	0	0	6.30  2 	Laurent Koscielny  32,  DC     2	2	5	0	0	6.96  3 	Per Mertesacker  33,  DC     1	1	2	0	1	6.82  4 	Nacho Monreal  32,  DC     0	1	2	0	2	7.08  5 	Héctor Bellerín  22,  DMR     1	0	3	0	0	6.91   6 	Sead Kolasinac (77′) 24,  DML     2	0	0	0	1	8.20    7 	Granit Xhaka  25,  MC     0	1	1	0	3	6.68  8 	Aaron Ramsey  27,  MC     3	1	0	0	1	7.58   9 	Alexis Sánchez  29,  AMC     2	1	0	0	0	7.03  10 	Mesut Özil  29,  AMC     2	0	0	0	0	7.45   11 	Alexandre Lacazette (80′) 26,  FW     1	0	0	0	1	6.68  12 	Olivier Giroud (80′) 31,  Sub     1	0	0	0	0	6.07  13 	Rob Holding (77′) 22,  Sub     1	0	0	0	0	6.06  14 	Francis Coquelin  26,  Sub     0	0	0	0	0	-  15 	Alex Iwobi  21,  Sub     0	0	0	0	0	-  16 	Matt Macey  23,  Sub     0	0	0	0	0	-  17 	Jack Wilshere  26,  Sub     0	0	0	0	0	-  18 	Theo Walcott  28,  Sub     0	0	0	0	0	-",""
"1520683901-1254","https://www.whoscored.com/Teams/259/Fixtures/Wales-Swansea","0 : 0","https://www.whoscored.com/Matches/1268758/Live/England-FA-Cup-2017-2018-Sheffield-Wednesday-Swansea","0Formation Set  352  352 69Jacob Butterfield is substituted off 69Joey Pelupessy is substituted on 77Ross Wallace recieves a yellow card 79Ross Wallace is substituted off 79Lucas João is substituted on 82Adam Reach recieves a yellow card","0Formation Set  343  343 63Luciano Narsingh is substituted off 63Nathan Dyer is substituted on 64Mike van der Hoorn recieves a yellow card 66Tammy Abraham is substituted off 66Jordan Ayew is substituted on 78Martin Olsson is substituted off 78Sam Clucas is substituted on","Player Statistics","https://www.whoscored.com/Matches/1268758/LiveStatistics/England-FA-Cup-2017-2018-Sheffield-Wednesday-Swansea","Sheffield Wednesday0 : 0SwanseaElapsed:FTHalf time:0 : 0Full time:0 : 0Kick off:12:30Date:Sat, 17-Feb-18","11Shots114Shots on target478%Pass Success %85%41%Aerial Duel Success59%5Dribbles won530Tackles17Possession43%57%","",""
"1520684648-1745","https://www.whoscored.com/Teams/259/Fixtures/Wales-Swansea","0 : 4","https://www.whoscored.com/Matches/1190206/Live/England-Premier-League-2017-2018-Swansea-Manchester-United","0Formation Set  3142  3142 2Jordan Ayew hits the woodwork (High, 18-yard box, Right footed, Open play) 66Luciano Narsingh is substituted on 66Kyle Bartley is substituted off 66Wayne Routledge is substituted on 66Roque Mesa is substituted off 66Formation Change  442  442 72Leroy Fer recieves a yellow card 80Tom Carroll commits an error (Leading to goal) 82Tammy Abraham is substituted off 82Oliver McBurnie is substituted on","0Formation Set  4231  4231 9Phil Jones hits the woodwork (High, 6-yard box, Big Chance, Other body part, Set piece) 25Paul Pogba recieves a yellow card 44GOAL! Eric Bailly scores  (Low to the centre, 6-yard box, Big Chance, Right footed, From corner) 74Anthony Martial is substituted on 74Juan Mata is substituted off 74Marouane Fellaini is substituted on 74Marcus Rashford is substituted off 79GOAL! Romelu Lukaku scores , Assisted by Henrikh Mkhitaryan (Low to the right, 18-yard box, Big Chance, Left footed, Open play) 79Henrikh Mkhitaryan assists a goal (Key pass, Open play) 81GOAL! Paul Pogba scores , Assisted by Henrikh Mkhitaryan (Low to the centre, 18-yard box, Big Chance, Right footed, Open play) 81Henrikh Mkhitaryan assists a goal (Through Ball, Key pass, Open play) 83Paul Pogba assists a goal (Key pass, Fast break) 83GOAL! Anthony Martial scores , Assisted by Paul Pogba (Low to the right, 18-yard box, Right footed, Fast break) 84Henrikh Mkhitaryan is substituted off 84Ander Herrera is substituted on 84Formation Change  4141  4141","Player Statistics","https://www.whoscored.com/Matches/1190206/LiveStatistics/England-Premier-League-2017-2018-Swansea-Manchester-United","Swansea0 : 4Manchester UnitedElapsed:FTHalf time:0 : 1Full time:0 : 4Kick off:12:30Date:Sat, 19-Aug-17","5Shots170Shots on target877%Pass Success %87%63%Aerial Duel Success37%5Dribbles won1321Tackles16Possession41%59%","","R		Player  Shots ShotsOT KeyPasses Dribbles Fouled Offsides Disp UnsTouchesRating Key Events 1 	David de Gea  27,  GK     0	0	0	0	0	0	0	0	6.64  2 	Antonio Valencia  32,  DR     0	0	0	0	1	0	2	1	7.25  3 	Phil Jones  26,  DC     1	0	0	0	1	0	0	0	7.96   4 	Eric Bailly  23,  DC     1	1	0	0	0	0	0	0	8.47   5 	Daley Blind  28,  DL     0	0	1	0	2	0	2	0	7.85  6 	Paul Pogba  24,  DMC     3	2	3	1	2	0	2	3	8.45     7 	Nemanja Matic  29,  DMC     0	0	0	1	2	0	0	3	7.78  8 	Juan Mata (74′) 29,  AMR     1	0	2	2	0	0	0	0	7.06  9 	Henrikh Mkhitaryan (84′) 29,  AMC     2	0	4	2	2	0	1	1	8.75    10 	Marcus Rashford (74′) 20,  AML     4	3	1	5	1	0	1	3	7.39  11 	Romelu Lukaku  24,  FW     3	1	1	1	0	0	1	1	7.80   12 	Marouane Fellaini (74′) 30,  Sub     0	0	0	0	1	0	0	1	6.54  13 	Anthony Martial (74′) 22,  Sub     2	1	0	1	0	0	0	1	7.40   14 	Ander Herrera (84′) 28,  Sub     0	0	0	0	0	0	0	0	6.15  15 	Sergio Romero  31,  Sub     0	0	0	0	0	0	0	0	-  16 	Victor Lindelöf  23,  Sub     0	0	0	0	0	0	0	0	-  17 	Jesse Lingard  25,  Sub     0	0	0	0	0	0	0	0	-  18 	Chris Smalling  28,  Sub     0	0	0	0	0	0	0	0	-"
"1520684047-1358","https://www.whoscored.com/Teams/259/Fixtures/Wales-Swansea","1 : 0","https://www.whoscored.com/Matches/1190410/Live/England-Premier-League-2017-2018-Swansea-Liverpool","0Formation Set  541  541 39Federico Fernández assists a goal (Key pass, From corner) 39GOAL! Alfie Mawson scores , Assisted by Federico Fernández (Low to the left, 18-yard box, Big Chance, Right footed, From corner) 54Kyle Naughton tackles and wins possession (Last line) 63Nathan Dyer is substituted off 63Tom Carroll is substituted on 78Jordan Ayew is substituted off 78Wilfried Bony is substituted on","0Formation Set  4231  4231 43Andrew Robertson recieves a yellow card 44Joel Matip recieves a yellow card 67Alex Oxlade-Chamberlain is substituted off 67Adam Lallana is substituted on 72Georginio Wijnaldum is substituted off 72Danny Ings is substituted on 72Formation Change  442  442 94Roberto Firmino hits the woodwork (To the left, 6-yard box, Big Chance, Head, Open play)","Player Statistics","https://www.whoscored.com/Matches/1190410/LiveStatistics/England-Premier-League-2017-2018-Swansea-Liverpool","Swansea1 : 0LiverpoolElapsed:FTHalf time:1 : 0Full time:1 : 0Kick off:20:00Date:Mon, 22-Jan-18","3Shots212Shots on target468%Pass Success %88%49%Aerial Duel Success51%6Dribbles won615Tackles15Possession28%72%","",""
"1520684485-1627","https://www.whoscored.com/Teams/259/Fixtures/Wales-Swansea","2 : 0","https://www.whoscored.com/Matches/1190273/Live/England-Premier-League-2017-2018-Swansea-Huddersfield","0Formation Set  433  433 1Leroy Fer recieves a yellow card 41GOAL! Tammy Abraham scores , Assisted by Tom Carroll (Low to the right, 18-yard box, Big Chance, Right footed, Open play) 41Tom Carroll assists a goal (Key pass, Open play) 47GOAL! Tammy Abraham scores , Assisted by Jordan Ayew (Low to the right, 6-yard box, Big Chance, Right footed, Open play) 47Jordan Ayew has shot blocked (18-yard box, Big Chance, Key pass, Right footed, Open play) 72Ki Sung-yueng is substituted on 72Leroy Fer is substituted off 75Nathan Dyer is substituted on 75Luciano Narsingh is substituted off 83Leon Britton is substituted off 83Sam Clucas is substituted on 83Formation Change  4312  4312","0Formation Set  4231  4231 24Christopher Schindler recieves a yellow card 41Jonas Lössl commits an error (Leading to goal) 44Tommy Smith recieves a yellow card 45Jonathan Hogg recieves a yellow card 46Zanka recieves a yellow card 45Jonathan Hogg is substituted off 45Aaron Mooy is substituted on 59Danny Williams is substituted on 59Philip Billing is substituted off 65Rajiv van La Parra recieves a yellow card 80Scott Malone is substituted off 80Chris Löwe is substituted on","Player Statistics","https://www.whoscored.com/Matches/1190273/LiveStatistics/England-Premier-League-2017-2018-Swansea-Huddersfield","Swansea2 : 0HuddersfieldElapsed:FTHalf time:1 : 0Full time:2 : 0Kick off:15:00Date:Sat, 14-Oct-17","7Shots73Shots on target277%Pass Success %85%61%Aerial Duel Success39%3Dribbles won1215Tackles16Possession40%60%","",""
