web-scraper-order,web-scraper-start-url,matches,matches-href,summary_home,summary_away,gotosummary,gotosummary-href,matchsummary,teamstatistics,home_data_summary,away_data_summary
"1520644934-6146","https://www.whoscored.com/Teams/211/Fixtures/England-Brighton","2 : 0","https://www.whoscored.com/Matches/1190539/Live/England-Premier-League-2017-2018-Tottenham-Brighton","0Formation Set  4231  4231 39Harry Winks assists a goal (Key pass, Open play) 39GOAL! Serge Aurier scores , Assisted by Harry Winks (High to the left, Out of box, Right footed, Open play) 44Danny Rose recieves a yellow card 56Formation Change  4321  4321 66Mousa Dembélé is substituted on 66Harry Winks is substituted off 73Dele Alli is substituted on 73Erik Lamela is substituted off 77Formation Change  4321  4321 86Christian Eriksen assists a goal (Off the ground, Free-kick, Cross, Key pass, Set piece) 86GOAL! Son Heung-Min scores , Assisted by Christian Eriksen (High to the right, 6-yard box, Head, Set piece) 89Son Heung-Min is substituted off 89Ben Davies is substituted on","0Formation Change  433  433 0Formation Set  451  451 20Shane Duffy blocks a shot (Last line) 40Anthony Knockaert recieves a yellow card 58Formation Change  451  451 61José Izquierdo is substituted off 61Solly March is substituted on 71Glenn Murray is substituted on 71Tomer Hemed is substituted off 77Beram Kayal is substituted off 77Pascal Groß is substituted on","Player Statistics","https://www.whoscored.com/Matches/1190539/LiveStatistics/England-Premier-League-2017-2018-Tottenham-Brighton","Tottenham2 : 0BrightonElapsed:FTHalf time:1 : 0Full time:2 : 0Kick off:20:00Date:Wed, 13-Dec-17","25Shots78Shots on target489%Pass Success %64%50%Aerial Duel Success50%11Dribbles won515Tackles13Possession75%25%","R		Player  KeyPasses Passes PA% Crosses AccCrosses LB AccLB ThB AccThBRating Key Events 1 	Hugo Lloris  31,  GK     0	20	90	0	0	3	1	0	0	7.33  2 	Serge Aurier  25,  DR     0	55	85.5	2	0	1	0	0	0	8.45   3 	Jan Vertonghen  30,  DC     1	91	87.9	0	0	6	3	0	0	7.16  4 	Eric Dier  24,  DC     0	132	87.9	1	0	17	8	0	0	7.61  5 	Danny Rose  27,  DL     2	45	91.1	9	3	2	1	0	0	7.39   6 	Moussa Sissoko  28,  DMC     1	78	92.3	1	0	1	1	0	0	7.07  7 	Harry Winks (66′) 22,  DMC     4	94	93.6	1	1	5	4	0	0	7.32   8 	Erik Lamela (73′) 26,  AMR     2	47	91.5	4	1	3	2	0	0	6.66  9 	Christian Eriksen  26,  AMC     4	95	79	6	1	6	4	1	0	8.05   10 	Son Heung-Min (89′) 25,  AML     2	39	92.3	1	0	0	0	0	0	7.61   11 	Harry Kane  24,  FW     3	9	77.8	1	0	1	0	0	0	7.99  12 	Mousa Dembélé (66′) 30,  Sub     0	34	94.1	0	0	1	1	0	0	6.53  13 	Dele Alli (73′) 21,  Sub     1	4	50	0	0	1	0	0	0	6.34  14 	Ben Davies (89′) 24,  Sub     0	6	100	0	0	0	0	0	0	6.04  15 	Juan Foyth  20,  Sub     0	0	0	0	0	0	0	0	0	-  16 	Michel Vorm  34,  Sub     0	0	0	0	0	0	0	0	0	-  17 	Fernando Llorente  33,  Sub     0	0	0	0	0	0	0	0	0	-  18 	Kieran Trippier  27,  Sub     0	0	0	0	0	0	0	0	0	-",""
"1520644643-5938","https://www.whoscored.com/Teams/211/Fixtures/England-Brighton","3 : 1","https://www.whoscored.com/Matches/1267448/Live/England-FA-Cup-2017-2018-Brighton-Coventry","0Formation Set  442  442 4Jürgen Locadia hits the woodwork (To the right, 6-yard box, Right footed, From corner) 14GOAL! Jürgen Locadia scores , Assisted by Anthony Knockaert (Low to the left, 18-yard box, Right footed, Open play) 14Anthony Knockaert assists a goal (Cross, Key pass, Open play) 33GOAL! Connor Goldson scores , Assisted by Markus Suttner (High to the left, 18-yard box, Big Chance, Head, From corner) 33Markus Suttner assists a goal (Corner, Cross, Long Ball, Off the ground, Key pass, From corner) 45Dale Stephens is substituted off 45Tim Krul is substituted off 45Davy Pröpper is substituted on 45Niki Mäenpää is substituted on 60Bruno assists a goal (Cross, Off the ground, Key pass, Open play) 60GOAL! Leonardo Ulloa scores , Assisted by Bruno (High to the left, 18-yard box, Big Chance, Head, Open play) 76Jürgen Locadia is substituted off 76Sam Baldock is substituted on 89Sam Baldock hits the woodwork (High, 18-yard box, Right footed, Open play)","0Formation Set  442  442 12Dominic Hyam hits the woodwork (High, 18-yard box, Head, From corner) 56Rod McDonald is substituted on 56Jack Grimmer is substituted off 58Formation Change  442  442 61Jonson Clarke-Harris hits the woodwork (To the left, 6-yard box, Big Chance, Left footed, Open play) 73Jordan Ponticelli is substituted on 73Marc McNulty is substituted off 75Formation Change  4231  4231 76GOAL! Jonson Clarke-Harris scores  (Low to the left, 18-yard box, Left footed, Open play) 78Josh Barrett is substituted off 78Maxime Biamou is substituted on 79Formation Change  4231  4231","Player Statistics","https://www.whoscored.com/Matches/1267448/LiveStatistics/England-FA-Cup-2017-2018-Brighton-Coventry","Brighton3 : 1CoventryElapsed:FTHalf time:2 : 0Full time:3 : 1Kick off:15:15Date:Sat, 17-Feb-18","20Shots116Shots on target285%Pass Success %70%36%Aerial Duel Success64%8Dribbles won49Tackles7Possession68%32%","R		Player  KeyPasses Passes PA% Crosses AccCrosses LB AccLB ThB AccThBRating Key Events 1 	Tim Krul (45′) 29,  GK     0	7	71.4	0	0	5	3	0	0	6.59  2 	Bruno  37,  DR     1	62	93.6	3	1	3	3	0	0	6.96   3 	Uwe Hünemeier  32,  DC     1	70	91.4	0	0	15	12	0	0	6.93  4 	Connor Goldson  25,  DC     0	86	84.9	0	0	22	19	0	0	7.99   5 	Markus Suttner  30,  DL     5	67	82.1	15	7	9	3	0	0	8.76   6 	Anthony Knockaert  26,  MR     3	43	86.1	5	1	3	2	0	0	7.08   7 	Beram Kayal  29,  MC     0	51	90.2	0	0	3	2	0	0	7.04  8 	Dale Stephens (45′) 28,  MC     1	42	85.7	0	0	12	8	0	0	6.95  9 	Solly March  23,  ML     5	38	89.5	11	3	6	5	0	0	7.65  10 	Leonardo Ulloa  31,  FW     1	33	78.8	0	0	0	0	0	0	7.83   11 	Jürgen Locadia (76′) 24,  FW     0	22	81.8	0	0	1	1	0	0	7.86    12 	Niki Mäenpää (45′) 33,  Sub     0	17	47.1	0	0	12	3	0	0	6.32  13 	Davy Pröpper (45′) 26,  Sub     1	37	83.8	0	0	6	4	0	0	6.18  14 	Sam Baldock (76′) 28,  Sub     0	1	100	0	0	0	0	0	0	6.29   15 	José Izquierdo  25,  Sub     0	0	0	0	0	0	0	0	0	-  16 	Tomer Hemed  30,  Sub     0	0	0	0	0	0	0	0	0	-  17 	Liam Rosenior  33,  Sub     0	0	0	0	0	0	0	0	0	-  18 	Lewis Dunk  26,  Sub     0	0	0	0	0	0	0	0	0	-",""
"1520644846-6083","https://www.whoscored.com/Teams/211/Fixtures/England-Brighton","0 : 0","https://www.whoscored.com/Matches/1190404/Live/England-Premier-League-2017-2018-Newcastle-United-Brighton","0Formation Set  442  442 60DeAndre Yedlin recieves a yellow card 71Matt Ritchie is substituted off 71Ayoze Pérez is substituted on 73Mikel Merino recieves a yellow card 75Mikel Merino is substituted off 75Jonjo Shelvey is substituted on 83Jacob Murphy is substituted on 83Joselu is substituted off 83Formation Change  4411  4411","0Formation Set  4411  4411 61Glenn Murray is substituted off 61Tomer Hemed is substituted on 72Anthony Knockaert recieves a yellow card 90Lewis Dunk recieves a yellow card","Player Statistics","https://www.whoscored.com/Matches/1190404/LiveStatistics/England-Premier-League-2017-2018-Newcastle-United-Brighton","Newcastle United0 : 0BrightonElapsed:FTHalf time:0 : 0Full time:0 : 0Kick off:15:00Date:Sat, 30-Dec-17","11Shots102Shots on target370%Pass Success %78%47%Aerial Duel Success53%12Dribbles won1012Tackles13Possession45%55%","",""
"1520644689-5974","https://www.whoscored.com/Teams/211/Fixtures/England-Brighton","3 : 1","https://www.whoscored.com/Matches/1190347/Live/England-Premier-League-2017-2018-Brighton-West-Ham","0Formation Set  4411  4411 6Pascal Groß assists a goal (Through Ball, Key pass, Open play) 7GOAL! Glenn Murray scores , Assisted by Pascal Groß (Low to the right, 18-yard box, Big Chance, Right footed, Open play) 49Lewis Dunk recieves a yellow card 58GOAL! José Izquierdo scores  (High to the right, 18-yard box, Right footed, From corner) 59José Izquierdo recieves a yellow card 71Glenn Murray is substituted off 71Leonardo Ulloa is substituted on 74GOAL! Pascal Groß scores , Assisted by Davy Pröpper (Low to the left, Out of box, Right footed, Open play) 74Davy Pröpper assists a goal (Key pass, Open play) 77Solly March is substituted on 77Anthony Knockaert is substituted off 80Dale Stephens recieves a yellow card 82Pascal Groß is substituted off 82Beram Kayal is substituted on 82Formation Change  4231  4231","0Formation Set  3421  3421 7Aaron Cresswell recieves a yellow card 29GOAL! Chicharito scores , Assisted by João Mário (High to the right, 18-yard box, Right footed, Open play) 29João Mário assists a goal (Key pass, Open play) 65Michail Antonio is substituted on 65Declan Rice is substituted off 67Formation Change  442  442 67Formation Change  442  442 74James Collins commits an error (Leading to goal) 79Sam Byram is substituted off 79Jordan Hugill is substituted on 79Formation Change  442  442","Player Statistics","https://www.whoscored.com/Matches/1190347/LiveStatistics/England-Premier-League-2017-2018-Brighton-West-Ham","Brighton3 : 1West HamElapsed:FTHalf time:1 : 1Full time:3 : 1Kick off:15:00Date:Sat, 03-Feb-18","21Shots45Shots on target175%Pass Success %75%46%Aerial Duel Success54%9Dribbles won118Tackles17Possession54%46%","",""
"1520644934-6139","https://www.whoscored.com/Teams/211/Fixtures/England-Brighton","2 : 0","https://www.whoscored.com/Matches/1190539/Live/England-Premier-League-2017-2018-Tottenham-Brighton","0Formation Set  4231  4231 39Harry Winks assists a goal (Key pass, Open play) 39GOAL! Serge Aurier scores , Assisted by Harry Winks (High to the left, Out of box, Right footed, Open play) 44Danny Rose recieves a yellow card 56Formation Change  4321  4321 66Mousa Dembélé is substituted on 66Harry Winks is substituted off 73Dele Alli is substituted on 73Erik Lamela is substituted off 77Formation Change  4321  4321 86Christian Eriksen assists a goal (Off the ground, Free-kick, Cross, Key pass, Set piece) 86GOAL! Son Heung-Min scores , Assisted by Christian Eriksen (High to the right, 6-yard box, Head, Set piece) 89Son Heung-Min is substituted off 89Ben Davies is substituted on","0Formation Change  433  433 0Formation Set  451  451 20Shane Duffy blocks a shot (Last line) 40Anthony Knockaert recieves a yellow card 58Formation Change  451  451 61José Izquierdo is substituted off 61Solly March is substituted on 71Glenn Murray is substituted on 71Tomer Hemed is substituted off 77Beram Kayal is substituted off 77Pascal Groß is substituted on","Player Statistics","https://www.whoscored.com/Matches/1190539/LiveStatistics/England-Premier-League-2017-2018-Tottenham-Brighton","Tottenham2 : 0BrightonElapsed:FTHalf time:1 : 0Full time:2 : 0Kick off:20:00Date:Wed, 13-Dec-17","25Shots78Shots on target489%Pass Success %64%50%Aerial Duel Success50%11Dribbles won515Tackles13Possession75%25%","",""
"1520645330-6428","https://www.whoscored.com/Teams/211/Fixtures/England-Brighton","1 : 1","https://www.whoscored.com/Matches/1185914/Live/International-Club-Friendlies-2017-Norwich-Brighton","null","null","Player Statistics","https://www.whoscored.com/Matches/1185914/Live/International-Club-Friendlies-2017-Norwich-Brighton#","Norwich1 : 1BrightonElapsed:FTHalf time:1 : 1Full time:1 : 1Kick off:15:00Date:Sat, 29-Jul-17","null","",""
"1520644846-6087","https://www.whoscored.com/Teams/211/Fixtures/England-Brighton","0 : 0","https://www.whoscored.com/Matches/1190404/Live/England-Premier-League-2017-2018-Newcastle-United-Brighton","0Formation Set  442  442 60DeAndre Yedlin recieves a yellow card 71Matt Ritchie is substituted off 71Ayoze Pérez is substituted on 73Mikel Merino recieves a yellow card 75Mikel Merino is substituted off 75Jonjo Shelvey is substituted on 83Jacob Murphy is substituted on 83Joselu is substituted off 83Formation Change  4411  4411","0Formation Set  4411  4411 61Glenn Murray is substituted off 61Tomer Hemed is substituted on 72Anthony Knockaert recieves a yellow card 90Lewis Dunk recieves a yellow card","Player Statistics","https://www.whoscored.com/Matches/1190404/LiveStatistics/England-Premier-League-2017-2018-Newcastle-United-Brighton","Newcastle United0 : 0BrightonElapsed:FTHalf time:0 : 0Full time:0 : 0Kick off:15:00Date:Sat, 30-Dec-17","11Shots102Shots on target370%Pass Success %78%47%Aerial Duel Success53%12Dribbles won1012Tackles13Possession45%55%","","R		Player  Shots ShotsOT KeyPasses PA% AerialsWon TouchesRating Key Events 1 	Mat Ryan  25,  GK     0	0	0	32.1	1	33	7.47  2 	Bruno  37,  DR     0	0	0	86.5	3	82	7.55  3 	Shane Duffy  26,  DC     3	0	1	74.5	7	62	7.51  4 	Lewis Dunk  26,  DC     1	1	0	90.4	7	76	8.19   5 	Gaëtan Bong  29,  DL     0	0	0	75	3	81	7.83  6 	Anthony Knockaert  26,  MR     3	1	0	93.9	1	61	6.45   7 	Davy Pröpper  26,  MC     1	0	0	89.1	0	59	6.79  8 	Dale Stephens  28,  MC     0	0	0	80.6	0	74	6.57  9 	Solly March  23,  ML     0	0	1	63.4	2	66	6.81  10 	Pascal Groß  26,  AMC     1	1	2	84.6	0	57	6.89  11 	Glenn Murray (61′) 34,  FW     1	0	0	55	4	30	6.30  12 	Tomer Hemed (61′) 30,  Sub     0	0	0	81.3	3	21	6.25  13 	José Izquierdo  25,  Sub     0	0	0	0	0	0	-  14 	Beram Kayal  29,  Sub     0	0	0	0	0	0	-  15 	Ezequiel Schelotto  28,  Sub     0	0	0	0	0	0	-  16 	Tim Krul  29,  Sub     0	0	0	0	0	0	-  17 	Connor Goldson  25,  Sub     0	0	0	0	0	0	-  18 	Sam Baldock  28,  Sub     0	0	0	0	0	0	-"
"1520644778-6029","https://www.whoscored.com/Teams/211/Fixtures/England-Brighton","2 : 0","https://www.whoscored.com/Matches/1190374/Live/England-Premier-League-2017-2018-West-Bromwich-Albion-Brighton","0Formation Set  442  442 3Jay Rodriguez assists a goal (Headed, Key pass, From corner) 3GOAL! Jonny Evans scores , Assisted by Jay Rodriguez (High to the centre, 18-yard box, Big Chance, Head, From corner) 54GOAL! Craig Dawson scores , Assisted by Chris Brunt (High to the right, 18-yard box, Head, From corner) 54Chris Brunt assists a goal (Long Ball, Cross, Off the ground, Corner, Key pass, From corner) 78Jay Rodriguez is substituted off 78Jake Livermore is substituted on 80Allan Nyom is substituted on 80Craig Dawson is substituted off 82Formation Change  451  451 83Jonny Evans is substituted off 83Gareth McAuley is substituted on 83Formation Change  451  451","0Formation Set  4411  4411 45Solly March is substituted on 45José Izquierdo is substituted off 65Pascal Groß is substituted off 65Sam Baldock is substituted on 75Davy Pröpper is substituted off 75Beram Kayal is substituted on","Player Statistics","https://www.whoscored.com/Matches/1190374/LiveStatistics/England-Premier-League-2017-2018-West-Bromwich-Albion-Brighton","West Bromwich Albion2 : 0BrightonElapsed:FTHalf time:1 : 0Full time:2 : 0Kick off:15:00Date:Sat, 13-Jan-18","15Shots134Shots on target168%Pass Success %77%54%Aerial Duel Success46%9Dribbles won39Tackles17Possession44%56%","",""
"1520644868-6092","https://www.whoscored.com/Teams/211/Fixtures/England-Brighton","2 : 0","https://www.whoscored.com/Matches/1190344/Live/England-Premier-League-2017-2018-Chelsea-Brighton","0Formation Set  3511  3511 45César Azpilicueta assists a goal (Off the ground, Cross, Key pass, Open play) 45GOAL! Álvaro Morata scores , Assisted by César Azpilicueta (Low to the right, 18-yard box, Big Chance, Head, Open play) 59GOAL! Marcos Alonso scores , Assisted by Cesc Fàbregas (Low to the right, 6-yard box, Head, From corner) 59Cesc Fàbregas assists a goal (Corner, Off the ground, Cross, Key pass, From corner) 72Eden Hazard is substituted off 72Willian is substituted on 81Michy Batshuayi is substituted on 81Álvaro Morata is substituted off 84N'Golo Kanté is substituted off 84Daniel Drinkwater is substituted on","0Formation Set  451  451 56Dale Stephens recieves a yellow card 65Lewis Dunk blocks a shot (Last line) 72Pascal Groß is substituted on 72Beram Kayal is substituted off 79Tomer Hemed is substituted off 79Glenn Murray is substituted on 81Solly March is substituted off 81Anthony Knockaert is substituted on","Player Statistics","https://www.whoscored.com/Matches/1190344/LiveStatistics/England-Premier-League-2017-2018-Chelsea-Brighton","Chelsea2 : 0BrightonElapsed:FTHalf time:0 : 0Full time:2 : 0Kick off:15:00Date:Tue, 26-Dec-17","25Shots88Shots on target189%Pass Success %76%33%Aerial Duel Success67%12Dribbles won412Tackles10Possession67%33%","",""
"1520644778-6027","https://www.whoscored.com/Teams/211/Fixtures/England-Brighton","2 : 0","https://www.whoscored.com/Matches/1190374/Live/England-Premier-League-2017-2018-West-Bromwich-Albion-Brighton","0Formation Set  442  442 3Jay Rodriguez assists a goal (Headed, Key pass, From corner) 3GOAL! Jonny Evans scores , Assisted by Jay Rodriguez (High to the centre, 18-yard box, Big Chance, Head, From corner) 54GOAL! Craig Dawson scores , Assisted by Chris Brunt (High to the right, 18-yard box, Head, From corner) 54Chris Brunt assists a goal (Long Ball, Cross, Off the ground, Corner, Key pass, From corner) 78Jay Rodriguez is substituted off 78Jake Livermore is substituted on 80Allan Nyom is substituted on 80Craig Dawson is substituted off 82Formation Change  451  451 83Jonny Evans is substituted off 83Gareth McAuley is substituted on 83Formation Change  451  451","0Formation Set  4411  4411 45Solly March is substituted on 45José Izquierdo is substituted off 65Pascal Groß is substituted off 65Sam Baldock is substituted on 75Davy Pröpper is substituted off 75Beram Kayal is substituted on","Player Statistics","https://www.whoscored.com/Matches/1190374/LiveStatistics/England-Premier-League-2017-2018-West-Bromwich-Albion-Brighton","West Bromwich Albion2 : 0BrightonElapsed:FTHalf time:1 : 0Full time:2 : 0Kick off:15:00Date:Sat, 13-Jan-18","15Shots134Shots on target168%Pass Success %77%54%Aerial Duel Success46%9Dribbles won39Tackles17Possession44%56%","",""
"1520644733-6004","https://www.whoscored.com/Teams/211/Fixtures/England-Brighton","0 : 1","https://www.whoscored.com/Matches/1256847/Live/England-FA-Cup-2017-2018-Middlesbrough-Brighton","0Formation Set  4231  4231 43Adam Clayton recieves a yellow card 55Stewart Downing is substituted on 55Martin Braithwaite is substituted off 55Ashley Fletcher is substituted off 55Britt Assombalonga is substituted on 64Daniel Ayala is substituted off 64Dael Fry is substituted on 64Formation Change  4231  4231","0Formation Set  442  442 45Dale Stephens is substituted off 45Davy Pröpper is substituted on 60Jiri Skalak is substituted off 60José Izquierdo is substituted on 60Sam Baldock recieves a yellow card 67Davy Pröpper recieves a yellow card 69José Izquierdo recieves a yellow card 71Tomer Hemed is substituted off 71Glenn Murray is substituted on 89GOAL! Glenn Murray scores  (Low to the centre, 18-yard box, Left footed, Open play) 94Beram Kayal recieves a yellow card","Player Statistics","https://www.whoscored.com/Matches/1256847/LiveStatistics/England-FA-Cup-2017-2018-Middlesbrough-Brighton","Middlesbrough0 : 1BrightonElapsed:FTHalf time:0 : 0Full time:0 : 1Kick off:15:00Date:Sat, 27-Jan-18","16Shots113Shots on target476%Pass Success %78%61%Aerial Duel Success39%17Dribbles won817Tackles16Possession47%53%","",""
"1520645181-6324","https://www.whoscored.com/Teams/211/Fixtures/England-Brighton","1 : 0","https://www.whoscored.com/Matches/1190213/Live/England-Premier-League-2017-2018-Brighton-Newcastle-United","0Formation Set  4411  4411 12Anthony Knockaert recieves a yellow card 50Dale Stephens assists a goal (Headed, Key pass, Set piece) 50GOAL! Tomer Hemed scores , Assisted by Dale Stephens (High to the centre, 6-yard box, Right footed, Set piece) 76Shane Duffy recieves a yellow card 80Anthony Knockaert is substituted off 80Jamie Murphy is substituted on","0Formation Set  4231  4231 67Isaac Hayden is substituted off 67Jonjo Shelvey is substituted on 67Formation Change  4231  4231 70Joselu is substituted off 70Dwight Gayle is substituted on 82Chancel Mbemba is substituted off 82Jesús Gámez is substituted on 92Jamaal Lascelles recieves a yellow card","Player Statistics","https://www.whoscored.com/Matches/1190213/LiveStatistics/England-Premier-League-2017-2018-Brighton-Newcastle-United","Brighton1 : 0Newcastle UnitedElapsed:FTHalf time:0 : 0Full time:1 : 0Kick off:16:00Date:Sun, 24-Sep-17","7Shots173Shots on target576%Pass Success %80%61%Aerial Duel Success39%6Dribbles won1116Tackles14Possession49%51%","",""
"1520645023-6205","https://www.whoscored.com/Teams/211/Fixtures/England-Brighton","1 : 0","https://www.whoscored.com/Matches/1190314/Live/England-Premier-League-2017-2018-Manchester-United-Brighton","0Formation Set  4231  4231 61Juan Mata is substituted off 61Formation Change  4231  4231 61Zlatan Ibrahimovic is substituted on 65Lewis Dunk scores an OWN GOAL!  (High to the right, 18-yard box, Right footed, From corner) 70Henrikh Mkhitaryan is substituted on 70Anthony Martial is substituted off 70Formation Change  4231  4231 79Marcus Rashford is substituted off 79Marouane Fellaini is substituted on 79Formation Change  433  433","0Formation Set  451  451 58Glenn Murray recieves a yellow card 74Glenn Murray is substituted off 74Tomer Hemed is substituted on 74Solly March is substituted off 74José Izquierdo is substituted on 86Shane Duffy recieves a yellow card 87Pascal Groß is substituted off 87Isaiah Brown is substituted on 87Formation Change  4411  4411","Player Statistics","https://www.whoscored.com/Matches/1190314/LiveStatistics/England-Premier-League-2017-2018-Manchester-United-Brighton","Manchester United1 : 0BrightonElapsed:FTHalf time:0 : 0Full time:1 : 0Kick off:15:00Date:Sat, 25-Nov-17","15Shots84Shots on target285%Pass Success %76%50%Aerial Duel Success50%18Dribbles won510Tackles18Possession58%42%","",""
"1520644621-5916","https://www.whoscored.com/Teams/211/Fixtures/England-Brighton","4 : 1","https://www.whoscored.com/Matches/1190427/Live/England-Premier-League-2017-2018-Brighton-Swansea","0Formation Set  4411  4411 17GOAL! Glenn Murray scores  (High to the centre, 18-yard box, Big Chance, Penalty, Right footed) 43Shane Duffy hits the woodwork (High, 18-yard box, Head, From corner) 62Glenn Murray recieves a yellow card 68GOAL! Glenn Murray scores , Assisted by José Izquierdo (Low to the centre, 18-yard box, Big Chance, Left footed, Open play) 68José Izquierdo assists a goal (Key pass, Open play) 72Pascal Groß assists a goal (Through Ball, Key pass, Open play) 72GOAL! Anthony Knockaert scores , Assisted by Pascal Groß (Low to the centre, 18-yard box, Big Chance, Left footed, Open play) 78Solly March is substituted on 78Anthony Knockaert is substituted off 81Jürgen Locadia is substituted on 81Glenn Murray is substituted off 89Dale Stephens misses attempt (18-yard box, Key pass, Right footed, Open play) 89GOAL! Jürgen Locadia scores , Assisted by Dale Stephens (Low to the centre, 6-yard box, Big Chance, Left footed, Open play) 90Pascal Groß is substituted off 90Beram Kayal is substituted on","0Formation Set  541  541 35Nathan Dyer is substituted off 35André Ayew is substituted on 45Jordan Ayew hits the woodwork (To the left, Out of box, Right footed, Open play) 45Luciano Narsingh is substituted on 45Formation Change  442  442 45Formation Change  442  442 45Mike van der Hoorn is substituted off 65Tammy Abraham is substituted on 65Formation Change  4231  4231 65Tom Carroll is substituted off 72Alfie Mawson commits an error (Leading to goal) 84Lewis Dunk scores an OWN GOAL!  (Low to the left, 18-yard box, Left footed, Open play)","Player Statistics","https://www.whoscored.com/Matches/1190427/LiveStatistics/England-Premier-League-2017-2018-Brighton-Swansea","Brighton4 : 1SwanseaElapsed:FTHalf time:1 : 0Full time:4 : 1Kick off:15:00Date:Sat, 24-Feb-18","16Shots115Shots on target175%Pass Success %77%64%Aerial Duel Success36%8Dribbles won824Tackles20Possession48%52%","",""
"1520645351-6442","https://www.whoscored.com/Teams/211/Fixtures/England-Brighton","0 : 2","https://www.whoscored.com/Matches/1199487/Live/International-Club-Friendlies-2017-Fortuna-Duesseldorf-Brighton","null","null","Player Statistics","https://www.whoscored.com/Matches/1199487/Live/International-Club-Friendlies-2017-Fortuna-Duesseldorf-Brighton#","Fortuna Duesseldorf0 : 2BrightonElapsed:FTHalf time:0 : 0Full time:0 : 2Kick off:17:00Date:Fri, 14-Jul-17","null","",""
"1520644643-5935","https://www.whoscored.com/Teams/211/Fixtures/England-Brighton","3 : 1","https://www.whoscored.com/Matches/1267448/Live/England-FA-Cup-2017-2018-Brighton-Coventry","0Formation Set  442  442 4Jürgen Locadia hits the woodwork (To the right, 6-yard box, Right footed, From corner) 14GOAL! Jürgen Locadia scores , Assisted by Anthony Knockaert (Low to the left, 18-yard box, Right footed, Open play) 14Anthony Knockaert assists a goal (Cross, Key pass, Open play) 33GOAL! Connor Goldson scores , Assisted by Markus Suttner (High to the left, 18-yard box, Big Chance, Head, From corner) 33Markus Suttner assists a goal (Corner, Cross, Long Ball, Off the ground, Key pass, From corner) 45Dale Stephens is substituted off 45Tim Krul is substituted off 45Davy Pröpper is substituted on 45Niki Mäenpää is substituted on 60Bruno assists a goal (Cross, Off the ground, Key pass, Open play) 60GOAL! Leonardo Ulloa scores , Assisted by Bruno (High to the left, 18-yard box, Big Chance, Head, Open play) 76Jürgen Locadia is substituted off 76Sam Baldock is substituted on 89Sam Baldock hits the woodwork (High, 18-yard box, Right footed, Open play)","0Formation Set  442  442 12Dominic Hyam hits the woodwork (High, 18-yard box, Head, From corner) 56Rod McDonald is substituted on 56Jack Grimmer is substituted off 58Formation Change  442  442 61Jonson Clarke-Harris hits the woodwork (To the left, 6-yard box, Big Chance, Left footed, Open play) 73Jordan Ponticelli is substituted on 73Marc McNulty is substituted off 75Formation Change  4231  4231 76GOAL! Jonson Clarke-Harris scores  (Low to the left, 18-yard box, Left footed, Open play) 78Josh Barrett is substituted off 78Maxime Biamou is substituted on 79Formation Change  4231  4231","Player Statistics","https://www.whoscored.com/Matches/1267448/LiveStatistics/England-FA-Cup-2017-2018-Brighton-Coventry","Brighton3 : 1CoventryElapsed:FTHalf time:2 : 0Full time:3 : 1Kick off:15:15Date:Sat, 17-Feb-18","20Shots116Shots on target285%Pass Success %70%36%Aerial Duel Success64%8Dribbles won49Tackles7Possession68%32%","R		Player  Shots ShotsOT KeyPasses PA% AerialsWon TouchesRating Key Events 1 	Tim Krul (45′) 29,  GK     0	0	0	71.4	0	11	6.59  2 	Bruno  37,  DR     0	0	1	93.6	0	76	6.96   3 	Uwe Hünemeier  32,  DC     0	0	1	91.4	2	76	6.93  4 	Connor Goldson  25,  DC     2	1	0	84.9	5	101	7.99   5 	Markus Suttner  30,  DL     0	0	5	82.1	0	113	8.76   6 	Anthony Knockaert  26,  MR     4	0	3	86.1	0	56	7.08   7 	Beram Kayal  29,  MC     0	0	0	90.2	0	64	7.04  8 	Dale Stephens (45′) 28,  MC     1	0	1	85.7	1	46	6.95  9 	Solly March  23,  ML     2	0	5	89.5	1	64	7.65  10 	Leonardo Ulloa  31,  FW     2	2	1	78.8	4	41	7.83   11 	Jürgen Locadia (76′) 24,  FW     7	2	0	81.8	1	35	7.86    12 	Niki Mäenpää (45′) 33,  Sub     0	0	0	47.1	0	22	6.32  13 	Davy Pröpper (45′) 26,  Sub     0	0	1	83.8	0	39	6.18  14 	Sam Baldock (76′) 28,  Sub     2	1	0	100	0	5	6.29   15 	José Izquierdo  25,  Sub     0	0	0	0	0	0	-  16 	Tomer Hemed  30,  Sub     0	0	0	0	0	0	-  17 	Liam Rosenior  33,  Sub     0	0	0	0	0	0	-  18 	Lewis Dunk  26,  Sub     0	0	0	0	0	0	-",""
