web-scraper-order,web-scraper-start-url,matches,matches-href,summary_home,summary_away,gotosummary,gotosummary-href,matchsummary,teamstatistics,home_data_summary,away_data_summary
"1520635831-2763","https://www.whoscored.com/Teams/30/Fixtures/England-Tottenham","1 : 2","https://www.whoscored.com/Matches/1190209/Live/England-Premier-League-2017-2018-Tottenham-Chelsea","0Formation Set  4321  4321 30Eric Dier recieves a yellow card 41Harry Kane hits the woodwork (To the right, 18-yard box, Right footed, Open play) 50Jan Vertonghen recieves a yellow card 67Eric Dier is substituted off 67Son Heung-Min is substituted on 79Ben Davies is substituted off 79Moussa Sissoko is substituted on 81Michy Batshuayi scores an OWN GOAL!  (Low to the left, 18-yard box, Head, Set piece) 82Toby Alderweireld recieves a yellow card 84Formation Change  3421  3421 87Harry Kane recieves a yellow card 88Hugo Lloris commits an error (Leading to goal) 90Kieran Trippier is substituted off 90Vincent Janssen is substituted on","0Formation Set  3511  3511 23GOAL! Marcos Alonso scores  (High to the right, Out of box, Left footed, Free kick) 29Antonio Rüdiger recieves a yellow card 37David Luiz recieves a yellow card 72Willian hits the woodwork (To the left, Out of box, Right footed, Open play) 77Willian is substituted off 77Pedro is substituted on 78Michy Batshuayi is substituted on 78Álvaro Morata is substituted off 86Marcos Alonso recieves a yellow card 87Pedro assists a goal (Key pass, Open play) 87GOAL! Marcos Alonso scores , Assisted by Pedro (Low to the right, 18-yard box, Left footed, Open play)","Player Statistics","https://www.whoscored.com/Matches/1190209/LiveStatistics/England-Premier-League-2017-2018-Tottenham-Chelsea","Tottenham1 : 2ChelseaElapsed:FTHalf time:0 : 1Full time:1 : 2Kick off:16:00Date:Sun, 20-Aug-17","18Shots96Shots on target285%Pass Success %69%43%Aerial Duel Success57%16Dribbles won914Tackles31Possession68%32%","",""
"1520635306-2393","https://www.whoscored.com/Teams/30/Fixtures/England-Tottenham","4 : 1","https://www.whoscored.com/Matches/1190520/Live/England-Premier-League-2017-2018-Manchester-City-Tottenham","0Formation Set  433  433 13Leroy Sané assists a goal (Cross, Corner, Off the ground, Long Ball, Key pass, From corner) 13GOAL! Ilkay Gündogan scores , Assisted by Leroy Sané (Low to the left, 18-yard box, Big Chance, Head, From corner) 37Nicolás Otamendi recieves a yellow card 50Fabian Delph recieves a yellow card 57Gabriel Jesus is substituted on 57Sergio Agüero is substituted off 69Ilkay Gündogan assists a goal (Key pass, Fast break) 69GOAL! Kevin De Bruyne scores , Assisted by Ilkay Gündogan (High to the centre, 18-yard box, Left footed, Fast break) 74Gabriel Jesus hits the woodwork (To the left, 18-yard box, Big Chance, Penalty, Right footed) 79Leroy Sané assists a goal (Key pass, Open play) 79GOAL! Raheem Sterling scores , Assisted by Leroy Sané (Low to the centre, 6-yard box, Big Chance, Right footed, Open play) 82Ilkay Gündogan is substituted off 82Phil Foden is substituted on 84Leroy Sané is substituted off 84Bernardo Silva is substituted on 89Bernardo Silva assists a goal (Key pass, Open play) 89GOAL! Raheem Sterling scores , Assisted by Bernardo Silva (Low to the centre, 18-yard box, Big Chance, Right footed, Open play)","0Formation Set  41212  41212 51Harry Kane recieves a yellow card 60Formation Change  4231  4231 61Mousa Dembélé recieves a yellow card 67Dele Alli recieves a yellow card 76Erik Lamela is substituted on 76Son Heung-Min is substituted off 83Dele Alli is substituted off 83Moussa Sissoko is substituted on 88Ben Davies is substituted on 88Danny Rose is substituted off 89Eric Dier commits an error (Leading to goal) 90Moussa Sissoko recieves a yellow card 92GOAL! Christian Eriksen scores  (Low to the right, Out of box, Left footed, Open play)","Player Statistics","https://www.whoscored.com/Matches/1190520/LiveStatistics/England-Premier-League-2017-2018-Manchester-City-Tottenham","Manchester City4 : 1TottenhamElapsed:FTHalf time:1 : 0Full time:4 : 1Kick off:17:30Date:Sat, 16-Dec-17","20Shots711Shots on target281%Pass Success %78%33%Aerial Duel Success67%14Dribbles won1318Tackles17Possession53%47%","","R		Player  Shots ShotsOT KeyPasses PA% AerialsWon TouchesRating Key Events 1 	Hugo Lloris  31,  GK     0	0	0	84.4	0	59	7.32  2 	Kieran Trippier  27,  DR     0	0	2	81.4	1	70	6.01  3 	Jan Vertonghen  30,  DC     1	0	0	84.5	1	73	6.25  4 	Eric Dier  24,  DC     0	0	0	88.2	1	62	5.41   5 	Danny Rose (88′) 27,  DL     1	0	0	67.4	0	75	6.15  6 	Mousa Dembélé  30,  DMC     0	0	0	87.9	0	51	6.01   7 	Christian Eriksen  26,  MC     1	1	2	70.6	0	48	6.68   8 	Harry Winks  22,  MC     0	0	0	91.2	0	54	6.58  9 	Dele Alli (83′) 21,  AMC     0	0	0	65.4	0	39	5.67   10 	Harry Kane  24,  FW     3	1	0	60.9	3	39	6.63   11 	Son Heung-Min (76′) 25,  FW     1	0	0	81.3	0	26	6.11  12 	Erik Lamela (76′) 26,  Sub     0	0	0	50	0	8	6.00  13 	Moussa Sissoko (83′) 28,  Sub     0	0	0	50	0	3	5.91   14 	Ben Davies (88′) 24,  Sub     0	0	0	0	0	0	6.00  15 	Juan Foyth  20,  Sub     0	0	0	0	0	0	-  16 	Michel Vorm  34,  Sub     0	0	0	0	0	0	-  17 	Fernando Llorente  33,  Sub     0	0	0	0	0	0	-  18 	Serge Aurier  25,  Sub     0	0	0	0	0	0	-"
"1520635860-2785","https://www.whoscored.com/Teams/30/Fixtures/England-Tottenham","2 : 0","https://www.whoscored.com/Matches/1210425/Live/International-Club-Friendlies-2017-Tottenham-Juventus","null","null","Player Statistics","https://www.whoscored.com/Matches/1210425/Live/International-Club-Friendlies-2017-Tottenham-Juventus#","Tottenham2 : 0JuventusElapsed:FTHalf time:1 : 0Full time:2 : 0Kick off:17:30Date:Sat, 05-Aug-17","null","",""
"1520634953-2146","https://www.whoscored.com/Teams/30/Fixtures/England-Tottenham","2 : 0","https://www.whoscored.com/Matches/1190365/Live/England-Premier-League-2017-2018-Tottenham-Huddersfield","0Formation Set  4231  4231 19Dele Alli recieves a yellow card 26GOAL! Son Heung-Min scores , Assisted by Dele Alli (Low to the right, 18-yard box, Big Chance, Left footed, Fast break) 26Dele Alli assists a goal (Through Ball, Key pass, Fast break) 53GOAL! Son Heung-Min scores , Assisted by Harry Kane (Low to the right, 18-yard box, Big Chance, Head, Open play) 53Harry Kane assists a goal (Off the ground, Long Ball, Cross, Key pass, Open play) 69Erik Lamela is substituted on 69Son Heung-Min is substituted off 70Formation Change  4231  4231 76Mousa Dembélé is substituted off 76Moussa Sissoko is substituted on 82Lucas Moura is substituted on 82Dele Alli is substituted off","0Formation Set  4231  4231 32Tom Ince is substituted on 32Collin Quaner is substituted off 45Philip Billing is substituted on 45Formation Change  451  451 45Alex Pritchard is substituted off 53Rajiv van La Parra commits an error (Leading to goal) 60Jonathan Hogg recieves a yellow card 82Jonathan Hogg is substituted off 82Laurent Depoitre is substituted on 82Formation Change  451  451","Player Statistics","https://www.whoscored.com/Matches/1190365/LiveStatistics/England-Premier-League-2017-2018-Tottenham-Huddersfield","Tottenham2 : 0HuddersfieldElapsed:FTHalf time:1 : 0Full time:2 : 0Kick off:15:00Date:Sat, 03-Mar-18","15Shots37Shots on target387%Pass Success %62%45%Aerial Duel Success55%18Dribbles won710Tackles29Possession75%25%","","R		Player  TotalTackles Interceptions Clearances BlockedShots FoulsRating Key Events 1 	Jonas Lössl  29,  GK     0	0	2	0	0	6.82  2 	Florent Hadergjonaj  23,  DR     1	0	2	2	0	6.19  3 	Zanka  27,  DC     3	4	9	1	4	7.11  4 	Christopher Schindler  27,  DC     5	1	8	1	1	7.13  5 	Terence Kongolo  24,  DL     5	3	5	0	0	6.80  6 	Danny Williams  29,  DMC     4	0	5	0	0	6.89  7 	Jonathan Hogg (82′) 29,  DMC     2	2	0	0	1	6.05   8 	Collin Quaner (32′) 26,  AMR     1	0	0	1	0	5.96  9 	Alex Pritchard (45′) 24,  AMC     1	0	0	0	0	6.19  10 	Rajiv van La Parra  26,  AML     3	0	2	0	0	5.32   11 	Steve Mounie  23,  FW     0	0	2	0	1	6.27  12 	Laurent Depoitre (82′) 29,  Sub     0	0	1	0	0	6.02  13 	Philip Billing (45′) 21,  Sub     4	2	0	0	0	6.61  14 	Tom Ince (32′) 26,  Sub     0	0	0	0	1	6.21  15 	Chris Löwe  28,  Sub     0	0	0	0	0	-  16 	Scott Malone  26,  Sub     0	0	0	0	0	-  17 	Robert Green  38,  Sub     0	0	0	0	0	-  18 	Tommy Smith  25,  Sub     0	0	0	0	0	-"
"1520635486-2510","https://www.whoscored.com/Teams/30/Fixtures/England-Tottenham","2 : 0","https://www.whoscored.com/Matches/1190320/Live/England-Premier-League-2017-2018-Arsenal-Tottenham","0Formation Set  3421  3421 31Granit Xhaka recieves a yellow card 35GOAL! Shkodran Mustafi scores , Assisted by Mesut Özil (High to the left, 18-yard box, Head, Set piece) 35Mesut Özil assists a goal (Cross, Off the ground, Free-kick, Key pass, Set piece) 37Alexis Sánchez recieves a yellow card 40Alexandre Lacazette assists a goal (Key pass, Open play) 40GOAL! Alexis Sánchez scores , Assisted by Alexandre Lacazette (High to the right, 6-yard box, Big Chance, Right footed, Open play) 47Shkodran Mustafi recieves a yellow card 72Nacho Monreal recieves a yellow card 72Francis Coquelin is substituted on 72Formation Change  3421  3421 72Alexandre Lacazette is substituted off 83Mesut Özil is substituted off 83Alex Iwobi is substituted on 83Formation Change  3421  3421","0Formation Set  352  352 49Harry Kane recieves a yellow card 61Mousa Dembélé is substituted off 61Harry Winks is substituted on 74Harry Kane is substituted off 74Fernando Llorente is substituted on 74Dele Alli is substituted off 74Son Heung-Min is substituted on","Player Statistics","https://www.whoscored.com/Matches/1190320/LiveStatistics/England-Premier-League-2017-2018-Arsenal-Tottenham","Arsenal2 : 0TottenhamElapsed:FTHalf time:2 : 0Full time:2 : 0Kick off:12:30Date:Sat, 18-Nov-17","14Shots145Shots on target469%Pass Success %79%44%Aerial Duel Success56%7Dribbles won1518Tackles12Possession42%58%","",""
"1520635329-2408","https://www.whoscored.com/Teams/30/Fixtures/England-Tottenham","2 : 0","https://www.whoscored.com/Matches/1190539/Live/England-Premier-League-2017-2018-Tottenham-Brighton","0Formation Set  4231  4231 39Harry Winks assists a goal (Key pass, Open play) 39GOAL! Serge Aurier scores , Assisted by Harry Winks (High to the left, Out of box, Right footed, Open play) 44Danny Rose recieves a yellow card 56Formation Change  4321  4321 66Mousa Dembélé is substituted on 66Harry Winks is substituted off 73Dele Alli is substituted on 73Erik Lamela is substituted off 77Formation Change  4321  4321 86Christian Eriksen assists a goal (Off the ground, Free-kick, Cross, Key pass, Set piece) 86GOAL! Son Heung-Min scores , Assisted by Christian Eriksen (High to the right, 6-yard box, Head, Set piece) 89Son Heung-Min is substituted off 89Ben Davies is substituted on","0Formation Change  433  433 0Formation Set  451  451 20Shane Duffy blocks a shot (Last line) 40Anthony Knockaert recieves a yellow card 58Formation Change  451  451 61José Izquierdo is substituted off 61Solly March is substituted on 71Glenn Murray is substituted on 71Tomer Hemed is substituted off 77Beram Kayal is substituted off 77Pascal Groß is substituted on","Player Statistics","https://www.whoscored.com/Matches/1190539/LiveStatistics/England-Premier-League-2017-2018-Tottenham-Brighton","Tottenham2 : 0BrightonElapsed:FTHalf time:1 : 0Full time:2 : 0Kick off:20:00Date:Wed, 13-Dec-17","25Shots78Shots on target489%Pass Success %64%50%Aerial Duel Success50%11Dribbles won515Tackles13Possession75%25%","",""
"1520635374-2443","https://www.whoscored.com/Teams/30/Fixtures/England-Tottenham","3 : 0","https://www.whoscored.com/Matches/1238373/Live/Europe-UEFA-Champions-League-2017-2018-Tottenham-APOEL-Nicosia","0Formation Set  4141  4141 19Serge Aurier assists a goal (Off the ground, Cross, Key pass, Open play) 19GOAL! Fernando Llorente scores , Assisted by Serge Aurier (Low to the centre, 18-yard box, Big Chance, Left footed, Open play) 36GOAL! Son Heung-Min scores , Assisted by Fernando Llorente (Low to the left, Out of box, Left footed, Open play) 36Fernando Llorente assists a goal (Lay-off, Key pass, Open play) 63Serge Aurier recieves a yellow card 64Son Heung-Min is substituted off 64Mousa Dembélé is substituted on 66Danny Rose recieves a yellow card 69Danny Rose is substituted off 69Formation Change  4231  4231 69Kyle Walker-Peters is substituted on 79Dele Alli assists a goal (Key pass, Open play) 79GOAL! Georges-Kévin Nkoudou scores , Assisted by Dele Alli (High to the centre, 18-yard box, Right footed, Open play) 87Dele Alli is substituted off 87Kazaiah Sterling is substituted on","0Formation Set  4231  4231 8Jesús Rueda blocks a shot (Last line) 37Formation Change  541  541 45Vinicius is substituted off 45Roland Sallai is substituted on 45Formation Change  541  541 67Roland Sallai recieves a yellow card 74Igor de Camargo is substituted on 74Efstathios Aloneftis is substituted off 80Mickaël Poté is substituted off 80Minas Antoniou is substituted on 82Jesús Rueda recieves a yellow card","Player Statistics","https://www.whoscored.com/Matches/1238373/LiveStatistics/Europe-UEFA-Champions-League-2017-2018-Tottenham-APOEL-Nicosia","Tottenham3 : 0APOEL NicosiaElapsed:FTHalf time:2 : 0Full time:3 : 0Kick off:19:45Date:Wed, 06-Dec-17","20Shots711Shots on target091%Pass Success %80%67%Aerial Duel Success33%15Dribbles won418Tackles20Possession66%34%","","R		Player  Shots ShotsOT KeyPasses Dribbles Fouled Offsides Disp UnsTouchesRating Key Events 1 	Nauzet Pérez  33,  GK     0	0	0	0	0	0	0	0	6.24  2 	Praxitelis Vouros  22,  DR     1	0	0	0	1	0	0	0	6.42  3 	Carlao  32,  DC     0	0	0	0	0	0	0	0	6.10  4 	Jesús Rueda  31,  DC     0	0	0	1	2	0	0	1	6.72    5 	Roberto Lago  32,  DL     0	0	2	0	0	0	0	0	6.36  6 	Vinicius (45′) 31,  DMC     0	0	0	0	2	0	1	0	6.02  7 	Nuno Morais  34,  DMC     0	0	0	0	0	0	0	0	6.21  8 	Ghayas Zahid  23,  AMR     0	0	2	0	0	0	2	2	5.98  9 	Lorenzo Ebecilio  26,  AMC     1	0	0	1	1	1	2	1	5.94  10 	Efstathios Aloneftis (74′) 34,  AML     1	0	1	2	3	1	1	3	6.63  11 	Mickaël Poté (80′) 33,  FW     2	0	0	0	5	1	4	4	6.02  12 	Igor de Camargo (74′) 34,  Sub     0	0	1	0	1	0	0	1	5.98  13 	Minas Antoniou (80′) 24,  Sub     0	0	0	0	0	0	0	0	6.28  14 	Roland Sallai (45′) 20,  Sub     2	0	0	0	4	2	1	0	5.92   15 	Agustín Farías  30,  Sub     0	0	0	0	0	0	0	0	-  16 	Giorgos Merkis  33,  Sub     0	0	0	0	0	0	0	0	-  17 	Nektarious Alexandrou  34,  Sub     0	0	0	0	0	0	0	0	-  18 	Raúl Gudiño  21,  Sub     0	0	0	0	0	0	0	0	-"
"1520635741-2696","https://www.whoscored.com/Teams/30/Fixtures/England-Tottenham","0 : 0","https://www.whoscored.com/Matches/1190202/Live/England-Premier-League-2017-2018-Tottenham-Swansea","0Formation Set  3511  3511 46Formation Change  3421  3421 57Harry Kane hits the woodwork (High, 18-yard box, Right footed, Open play) 62Moussa Sissoko is substituted off 62Serge Aurier is substituted on 73Son Heung-Min is substituted off 73Fernando Llorente is substituted on 87Toby Alderweireld recieves a yellow card","0Formation Set  352  352 57Renato Sanches is substituted off 57Leroy Fer is substituted on 62Mike van der Hoorn recieves a yellow card 71Tammy Abraham is substituted off 71Wilfried Bony is substituted on 71Formation Change  352  352 84Wayne Routledge is substituted on 84Formation Change  451  451 84Mike van der Hoorn is substituted off 85Tom Carroll recieves a yellow card 92Wayne Routledge recieves a yellow card","Player Statistics","https://www.whoscored.com/Matches/1190202/LiveStatistics/England-Premier-League-2017-2018-Tottenham-Swansea","Tottenham0 : 0SwanseaElapsed:FTHalf time:0 : 0Full time:0 : 0Kick off:17:30Date:Sat, 16-Sep-17","26Shots48Shots on target089%Pass Success %63%57%Aerial Duel Success43%7Dribbles won1014Tackles17Possession75%25%","R		Player  KeyPasses Passes PA% Crosses AccCrosses LB AccLB ThB AccThBRating Key Events 1 	Hugo Lloris  31,  GK     0	21	81	0	0	11	7	0	0	6.70  2 	Jan Vertonghen  30,  DC     1	130	92.3	1	0	4	4	0	0	7.52  3 	Toby Alderweireld  29,  DC     2	88	89.8	3	0	16	8	1	1	6.90   4 	Davinson Sánchez  21,  DC     0	77	93.5	0	0	5	3	0	0	6.95  5 	Kieran Trippier  27,  DMR     2	69	88.4	7	0	8	6	0	0	6.86  6 	Son Heung-Min (73′) 25,  DML     3	40	92.5	2	0	0	0	0	0	7.57  7 	Christian Eriksen  26,  MC     3	101	87.1	16	5	8	7	0	0	7.26  8 	Moussa Sissoko (62′) 28,  MC     4	44	88.6	1	1	5	3	0	0	6.77  9 	Eric Dier  24,  MC     0	91	90.1	1	0	10	8	0	0	6.69  10 	Dele Alli  21,  AMC     4	50	86	1	0	1	1	0	0	7.00  11 	Harry Kane  24,  FW     0	19	84.2	2	0	1	0	0	0	6.81   12 	Fernando Llorente (73′) 33,  Sub     0	5	20	0	0	0	0	0	0	6.15  13 	Serge Aurier (62′) 25,  Sub     0	22	86.4	8	1	0	0	0	0	6.22  14 	Juan Foyth  20,  Sub     0	0	0	0	0	0	0	0	0	-  15 	Mousa Dembélé  30,  Sub     0	0	0	0	0	0	0	0	0	-  16 	Michel Vorm  34,  Sub     0	0	0	0	0	0	0	0	0	-  17 	Harry Winks  22,  Sub     0	0	0	0	0	0	0	0	0	-  18 	Ben Davies  24,  Sub     0	0	0	0	0	0	0	0	0	-",""
"1520634953-2147","https://www.whoscored.com/Teams/30/Fixtures/England-Tottenham","2 : 0","https://www.whoscored.com/Matches/1190365/Live/England-Premier-League-2017-2018-Tottenham-Huddersfield","0Formation Set  4231  4231 19Dele Alli recieves a yellow card 26GOAL! Son Heung-Min scores , Assisted by Dele Alli (Low to the right, 18-yard box, Big Chance, Left footed, Fast break) 26Dele Alli assists a goal (Through Ball, Key pass, Fast break) 53GOAL! Son Heung-Min scores , Assisted by Harry Kane (Low to the right, 18-yard box, Big Chance, Head, Open play) 53Harry Kane assists a goal (Off the ground, Long Ball, Cross, Key pass, Open play) 69Erik Lamela is substituted on 69Son Heung-Min is substituted off 70Formation Change  4231  4231 76Mousa Dembélé is substituted off 76Moussa Sissoko is substituted on 82Lucas Moura is substituted on 82Dele Alli is substituted off","0Formation Set  4231  4231 32Tom Ince is substituted on 32Collin Quaner is substituted off 45Philip Billing is substituted on 45Formation Change  451  451 45Alex Pritchard is substituted off 53Rajiv van La Parra commits an error (Leading to goal) 60Jonathan Hogg recieves a yellow card 82Jonathan Hogg is substituted off 82Laurent Depoitre is substituted on 82Formation Change  451  451","Player Statistics","https://www.whoscored.com/Matches/1190365/LiveStatistics/England-Premier-League-2017-2018-Tottenham-Huddersfield","Tottenham2 : 0HuddersfieldElapsed:FTHalf time:1 : 0Full time:2 : 0Kick off:15:00Date:Sat, 03-Mar-18","15Shots37Shots on target387%Pass Success %62%45%Aerial Duel Success55%18Dribbles won710Tackles29Possession75%25%","","R		Player  Shots ShotsOT KeyPasses Dribbles Fouled Offsides Disp UnsTouchesRating Key Events 1 	Jonas Lössl  29,  GK     0	0	0	0	0	0	0	0	6.82  2 	Florent Hadergjonaj  23,  DR     0	0	0	1	0	1	0	1	6.19  3 	Zanka  27,  DC     0	0	1	0	0	0	0	2	7.11  4 	Christopher Schindler  27,  DC     0	0	0	1	0	0	0	0	7.13  5 	Terence Kongolo  24,  DL     0	0	0	1	1	0	0	1	6.80  6 	Danny Williams  29,  DMC     1	1	0	2	0	0	0	0	6.89  7 	Jonathan Hogg (82′) 29,  DMC     0	0	0	0	1	0	0	0	6.05   8 	Collin Quaner (32′) 26,  AMR     0	0	0	0	1	0	2	0	5.96  9 	Alex Pritchard (45′) 24,  AMC     0	0	0	1	1	0	0	1	6.19  10 	Rajiv van La Parra  26,  AML     1	1	0	0	1	0	3	3	5.32   11 	Steve Mounie  23,  FW     0	0	1	0	1	1	1	2	6.27  12 	Laurent Depoitre (82′) 29,  Sub     0	0	0	0	0	0	0	1	6.02  13 	Philip Billing (45′) 21,  Sub     0	0	0	0	0	0	0	1	6.61  14 	Tom Ince (32′) 26,  Sub     1	1	0	1	0	0	0	1	6.21  15 	Chris Löwe  28,  Sub     0	0	0	0	0	0	0	0	-  16 	Scott Malone  26,  Sub     0	0	0	0	0	0	0	0	-  17 	Robert Green  38,  Sub     0	0	0	0	0	0	0	0	-  18 	Tommy Smith  25,  Sub     0	0	0	0	0	0	0	0	-"
"1520635808-2752","https://www.whoscored.com/Teams/30/Fixtures/England-Tottenham","1 : 1","https://www.whoscored.com/Matches/1190201/Live/England-Premier-League-2017-2018-Tottenham-Burnley","0Formation Set  4231  4231 48GOAL! Dele Alli scores  (Low to the right, 6-yard box, Big Chance, Right footed, From corner) 69Moussa Sissoko is substituted on 69Son Heung-Min is substituted off 87Christian Eriksen is substituted off 87Harry Winks is substituted on 92Mousa Dembélé is substituted off 92Davinson Sánchez is substituted on 92Formation Change  541  541","0Formation Set  4411  4411 56Chris Wood is substituted on 56Johann Berg Gudmundsson is substituted off 56Sam Vokes is substituted off 56Ashley Barnes is substituted on 56Formation Change  4411  4411 80Ashley Westwood is substituted on 80Steven Defour is substituted off 91Robbie Brady assists a goal (Through Ball, Long Ball, Off the ground, Key pass, Open play) 91GOAL! Chris Wood scores , Assisted by Robbie Brady (Low to the right, 18-yard box, Right footed, Open play)","Player Statistics","https://www.whoscored.com/Matches/1190201/LiveStatistics/England-Premier-League-2017-2018-Tottenham-Burnley","Tottenham1 : 1BurnleyElapsed:FTHalf time:0 : 0Full time:1 : 1Kick off:16:00Date:Sun, 27-Aug-17","28Shots135Shots on target386%Pass Success %70%36%Aerial Duel Success64%10Dribbles won69Tackles16Possession67%33%","","R		Player  KeyPasses Passes PA% Crosses AccCrosses LB AccLB ThB AccThBRating Key Events 1 	Tom Heaton  31,  GK     0	22	45.5	0	0	22	10	0	0	6.82  2 	Matthew Lowton  28,  DR     0	29	69	0	0	8	2	0	0	6.69  3 	Ben Mee  28,  DC     1	22	90.9	0	0	3	2	0	0	7.99  4 	James Tarkowski  25,  DC     0	20	75	0	0	5	1	0	0	7.66  5 	Stephen Ward  32,  DL     1	24	70.8	4	1	9	3	0	0	6.60  6 	Johann Berg Gudmundsson (56′) 27,  MR     0	11	72.7	1	0	0	0	0	0	5.97  7 	Steven Defour (80′) 29,  MC     1	25	80	2	1	4	0	1	0	7.04  8 	Jack Cork  28,  MC     1	30	73.3	0	0	9	6	0	0	7.07  9 	Robbie Brady  26,  ML     5	29	51.7	12	5	4	1	2	1	8.30   10 	Scott Arfield  29,  AMC     1	25	76	1	0	2	2	1	0	6.45  11 	Sam Vokes (56′) 28,  FW     0	14	78.6	0	0	2	1	0	0	6.34  12 	Chris Wood (56′) 26,  Sub     0	7	71.4	0	0	1	1	0	0	7.34   13 	Ashley Westwood (80′) 27,  Sub     1	6	83.3	0	0	2	1	0	0	6.21  14 	Ashley Barnes (56′) 28,  Sub     0	8	75	0	0	0	0	0	0	6.11  15 	Kevin Long  27,  Sub     0	0	0	0	0	0	0	0	0	-  16 	Nick Pope  25,  Sub     0	0	0	0	0	0	0	0	0	-  17 	Charlie Taylor  24,  Sub     0	0	0	0	0	0	0	0	0	-  18 	Phil Bardsley  32,  Sub     0	0	0	0	0	0	0	0	0	-"
"1520635690-2657","https://www.whoscored.com/Teams/30/Fixtures/England-Tottenham","0 : 3","https://www.whoscored.com/Matches/1238365/Live/Europe-UEFA-Champions-League-2017-2018-APOEL-Nicosia-Tottenham","0Formation Set  442  442 18Igor de Camargo hits the woodwork (High, 18-yard box, Left footed, Open play) 38Boy Waterman recieves a yellow card 38Jesús Rueda commits an error (Leading to goal) 50Vinicius recieves a yellow card 62Roland Sallai is substituted off 62Andreas Makris is substituted on 74Agustín Farías is substituted on 74Efstathios Aloneftis is substituted off 83Nuno Morais is substituted off 83Nektarious Alexandrou is substituted on 83Formation Change  442  442","0Formation Set  532  532 37Toby Alderweireld assists a goal (Through Ball, Key pass, Open play) 38GOAL! Harry Kane scores , Assisted by Toby Alderweireld (Low to the left, 18-yard box, Big Chance, Left footed, Open play) 56Fernando Llorente is substituted on 56Formation Change  442  442 56Serge Aurier is substituted off 61Moussa Sissoko assists a goal (Key pass, Open play) 61GOAL! Harry Kane scores , Assisted by Moussa Sissoko (Low to the left, 18-yard box, Right footed, Open play) 66GOAL! Harry Kane scores , Assisted by Kieran Trippier (Low to the left, 18-yard box, Big Chance, Head, Open play) 66Kieran Trippier assists a goal (Cross, Off the ground, Key pass, Open play) 74Georges-Kévin Nkoudou is substituted on 74Formation Change  442  442 74Harry Kane is substituted off 83Moussa Sissoko is substituted off 83Anthony Georgiou is substituted on 84Harry Winks recieves a yellow card","Player Statistics","https://www.whoscored.com/Matches/1238365/LiveStatistics/Europe-UEFA-Champions-League-2017-2018-APOEL-Nicosia-Tottenham","APOEL Nicosia0 : 3TottenhamElapsed:FTHalf time:0 : 1Full time:0 : 3Kick off:19:45Date:Tue, 26-Sep-17","15Shots163Shots on target478%Pass Success %85%63%Aerial Duel Success37%5Dribbles won1117Tackles21Possession42%58%","R		Player  Shots ShotsOT KeyPasses PA% AerialsWon TouchesRating Key Events 1 	Boy Waterman  34,  GK     0	0	0	55.6	0	33	5.68   2 	Praxitelis Vouros  22,  DR     0	0	1	87.1	0	53	6.22  3 	Carlao  32,  DC     1	0	0	92.6	3	44	6.35  4 	Jesús Rueda  31,  DC     1	0	0	85	3	81	6.14   5 	Roberto Lago  32,  DL     2	0	0	83.3	0	69	6.24  6 	Ghayas Zahid  23,  MR     3	1	2	81.8	0	52	6.21  7 	Vinicius  31,  MC     0	0	1	86	1	64	5.87   8 	Nuno Morais (83′) 34,  MC     0	0	2	69.2	1	46	6.36  9 	Efstathios Aloneftis (74′) 34,  ML     1	1	2	56.5	0	47	6.42  10 	Igor de Camargo  34,  FW     3	0	2	59.3	7	48	6.76   11 	Roland Sallai (62′) 20,  FW     4	1	0	78.6	2	26	6.12  12 	Agustín Farías (74′) 30,  Sub     0	0	1	92.9	0	22	6.62  13 	Andreas Makris (62′) 22,  Sub     0	0	1	90	0	14	6.16  14 	Nektarious Alexandrou (83′) 34,  Sub     0	0	0	50	0	3	6.10  15 	Mickaël Poté  33,  Sub     0	0	0	0	0	0	-  16 	Minas Antoniou  24,  Sub     0	0	0	0	0	0	-  17 	Giorgos Merkis  33,  Sub     0	0	0	0	0	0	-  18 	Raúl Gudiño  21,  Sub     0	0	0	0	0	0	-",""
